Timestamp,Channel_1
0,44291.76
0.05,44495.41
0.1,44342.61
0.15,44546.42
0.2,44190.14
0.25,44342.61
0.3,44240.93
0.35,44495.41
0.4,44190.14
0.45,44393.51
0.5,44190.14
0.55,44088.67
0.6,44088.67
0.65,44240.93
0.7,44190.14
0.75,44342.61
0.8,44190.14
0.85,44291.76
0.9,44139.39
0.95,39761.09
1,42782.43
1.05,44190.14
1.1,44190.14
1.15,44240.93
1.2,44139.39
1.25,44240.93
1.3,44088.67
1.35,44291.76
1.4,44088.67
1.45,44291.76
1.5,44190.14
1.55,44393.51
1.6,44190.14
1.65,44240.93
1.7,44291.76
1.75,44393.51
1.8,44139.39
1.85,44240.93
1.9,44190.14
1.95,44393.51
2,44088.67
2.05,44190.14
2.1,43785.11
2.15,44291.76
2.2,44190.14
2.25,44495.41
2.3,44190.14
2.35,44139.39
2.4,44190.14
2.45,44393.51
2.5,43987.34
2.55,44393.51
2.6,43684.21
2.65,43633.81
2.7,44190.14
2.75,44139.39
2.8,44088.67
2.85,44393.51
2.9,44190.14
2.95,44393.51
3,44190.14
3.05,44190.14
3.1,44240.93
3.15,44291.76
3.2,44342.61
3.25,44139.39
3.3,44291.76
3.35,44393.51
3.4,44190.14
3.45,44342.61
3.5,44190.14
3.55,44291.76
3.6,44291.76
3.65,44139.39
3.7,44495.41
3.75,44648.53
3.8,44088.67
3.85,44444.45
3.9,44190.14
3.95,44393.51
4,44393.51
4.05,43886.15
4.1,44088.67
4.15,44291.76
4.2,44291.76
4.25,44190.14
4.3,44088.67
4.35,44139.39
4.4,44240.93
4.45,44139.39
4.5,44444.45
4.55,44190.14
4.6,44342.61
4.65,44291.76
4.7,44240.93
4.75,44444.45
4.8,44088.67
4.85,44291.76
4.9,44240.93
4.95,44240.93
5,44393.51
5.05,44088.67
5.1,44291.76
5.15,44190.14
5.2,44393.51
5.25,44240.93
5.3,44495.41
5.35,44190.14
5.4,43987.34
5.45,44190.14
5.5,44291.76
5.55,43987.34
5.6,44393.51
5.65,44190.14
5.7,44291.76
5.75,44342.61
5.8,44291.76
5.85,44393.51
5.9,44291.76
5.95,44190.14
6,44240.93
6.05,44190.14
6.1,44342.61
6.15,44240.93
6.2,44342.61
6.25,44291.76
6.3,44190.14
6.35,44546.42
6.4,44393.51
6.45,44342.61
6.5,44597.45
6.55,44291.76
6.6,44342.61
6.65,44139.39
6.7,44495.41
6.75,44495.41
6.8,47037.7
6.85,44699.65
6.9,44240.93
6.95,44393.51
7,44190.14
7.05,44139.39
7.1,44088.67
7.15,44240.93
7.2,44495.41
7.25,44495.41
7.3,44291.76
7.35,44190.14
7.4,44190.14
7.45,44088.67
7.5,44393.51
7.55,44037.99
7.6,44444.45
7.65,44190.14
7.7,44291.76
7.75,44088.67
7.8,44342.61
7.85,44240.93
7.9,44342.61
7.95,43734.64
8,44291.76
8.05,44088.67
8.1,44495.41
8.15,44495.41
8.2,44240.93
8.25,44190.14
8.3,44190.14
8.35,44190.14
8.4,44342.61
8.45,44190.14
8.5,44597.45
8.55,44088.67
8.6,44393.51
8.65,44597.45
8.7,44801.98
8.75,44240.93
8.8,44495.41
8.85,44240.93
8.9,44393.51
8.95,44291.76
9,43482.83
9.05,44240.93
9.1,44291.76
9.15,44240.93
9.2,44495.41
9.25,44190.14
9.3,44291.76
9.35,44291.76
9.4,44291.76
9.45,44190.14
9.5,44190.14
9.55,44444.45
9.6,44342.61
9.65,44190.14
9.7,44393.51
9.75,44342.61
9.8,44393.51
9.85,44291.76
9.9,44597.45
9.95,44190.14
10,44291.76
10.05,44240.93
10.1,44240.93
10.15,44088.67
10.2,44342.61
10.25,44444.45
10.3,44291.76
10.35,44190.14
10.4,44342.61
10.45,44291.76
10.5,44291.76
10.55,44190.14
10.6,44393.51
10.65,44139.39
10.7,44240.93
10.75,44240.93
10.8,44597.45
10.85,44190.14
10.9,44342.61
10.95,44240.93
11,44342.61
11.05,44393.51
11.1,44190.14
11.15,44240.93
11.2,44240.93
11.25,44291.76
11.3,44495.41
11.35,44240.93
11.4,44190.14
11.45,44190.14
11.5,44393.51
11.55,44139.39
11.6,44342.61
11.65,44291.76
11.7,44190.14
11.75,44393.51
11.8,44444.45
11.85,44291.76
11.9,44393.51
11.95,43835.62
12,44393.51
12.05,44444.45
12.1,45109.85
12.15,44190.14
12.2,44190.14
12.25,44190.14
12.3,44291.76
12.35,44444.45
12.4,44190.14
12.45,44240.93
12.5,44240.93
12.55,44291.76
12.6,44495.41
12.65,44190.14
12.7,44393.51
12.75,44190.14
12.8,44342.61
12.85,44190.14
12.9,44190.14
12.95,44190.14
13,44393.51
13.05,44190.14
13.1,44139.39
13.15,44240.93
13.2,44393.51
13.25,44342.61
13.3,44393.51
13.35,44190.14
13.4,44393.51
13.45,44291.76
13.5,44904.45
13.55,44393.51
13.6,44240.93
13.65,44088.67
13.7,44495.41
13.75,43785.11
13.8,44393.51
13.85,44088.67
13.9,44291.76
13.95,44597.45
14,44088.67
14.05,43785.11
14.1,44240.93
14.15,44393.51
14.2,44495.41
14.25,44291.76
14.3,44393.51
14.35,44495.41
14.4,44240.93
14.45,44393.51
14.5,44597.45
14.55,44393.51
14.6,44546.42
14.65,44342.61
14.7,44291.76
14.75,44190.14
14.8,44393.51
14.85,44393.51
14.9,44342.61
14.95,44291.76
15,44291.76
15.05,44648.53
15.1,44240.93
15.15,44240.93
15.2,44393.51
15.25,44291.76
15.3,44342.61
15.35,44190.14
15.4,44291.76
15.45,44495.41
15.5,43785.11
15.55,44342.61
15.6,44291.76
