Timestamp,Channel_1
0.00,830681.88
0.05,774999.94
0.10,794104.56
0.15,800000.25
0.20,807982.5
0.25,801982.69
0.30,832801.88
0.35,801982.69
0.40,812026.87
0.45,807982.5
0.50,800000.25
0.55,782542.88
0.60,832801.88
0.65,801982.69
0.70,834931.5
0.75,805973.06
0.80,832801.88
0.85,826470.06
0.90,798026.56
0.95,828571.5
1.00,861268.06
1.05,810000.25
1.10,832801.88
1.15,778755.81
1.20,830681.88
1.25,801982.69
1.30,893931.56
1.35,805973.06
1.40,796061
1.45,800000.25
1.50,814062.69
1.55,798026.56
1.60,805973.06
1.65,826470.06
1.70,810000.25
1.75,805973.06
1.80,847916.62
1.85,784449
1.90,810000.25
1.95,807982.5
2.00,830681.88
2.05,798026.56
2.10,801982.69
2.15,805973.06
2.20,798026.56
2.25,841379.31
2.30,841379.31
2.35,832801.88
2.40,805973.06
2.45,830681.88
2.50,800000.25
2.55,807982.5
2.60,805973.06
2.65,986206.44
2.70,807982.5
2.75,798026.56
2.80,816106.94
2.85,814062.69
2.90,805973.06
2.95,847916.62
3.00,865801.69
3.05,800000.25
3.10,830681.88
3.15,834931.5
3.20,805973.06
3.25,794104.56
3.30,751351.38
3.35,800000.25
3.40,830681.88
3.45,877326.62
3.50,790217.69
3.55,805973.06
3.60,834931.5
3.65,834931.5
3.70,884375.31
3.75,801982.69
3.80,814062.69
3.85,841379.31
3.90,841379.31
3.95,810000.25
4.00,794104.56
4.05,875000.37
4.10,805973.06
4.15,839220.19
4.20,798026.56
4.25,879664.75
4.30,830681.88
4.35,790217.69
4.40,805973.06
4.45,826470.06
4.50,792156.56
4.55,832801.88
4.60,812026.87
4.65,816106.94
4.70,839220.19
4.75,856775.56
4.80,774999.94
4.85,828571.5
4.90,807982.5
4.95,834931.5
5.00,739139.5
5.05,868084.81
5.10,709288.94
5.15,843548.31
5.20,826470.06
5.25,841379.31
5.30,826470.06
5.35,830681.88
5.40,830681.88
5.45,843548.31
5.50,865801.69
5.55,843548.31
5.60,826470.06
5.65,843548.31
5.70,800000.25
5.75,810000.25
5.80,780645
5.85,843548.31
5.90,732316.75
5.95,843548.31
6.00,810000.25
6.05,847916.62
6.10,801982.69
6.15,843548.31
6.20,803973.19
6.25,856775.56
6.30,814062.69
6.35,843548.31
6.40,751351.38
6.45,843548.31
6.50,776873.5
6.55,843548.31
6.60,778755.81
6.65,826470.06
6.70,794104.56
6.75,814062.69
6.80,794104.56
6.85,794104.56
6.90,798026.56
6.95,832801.88
7.00,800000.25
7.05,812026.87
7.10,794104.56
7.15,843548.31
7.20,801982.69
7.25,826470.06
7.30,805973.06
7.35,826470.06
7.40,810000.25
7.45,798026.56
7.50,814062.69
7.55,830681.88
7.60,798026.56
7.65,810000.25
7.70,832801.88
7.75,807982.5
7.80,816106.94
7.85,875000.37
7.90,810000.25
7.95,812026.87
8.00,801982.69
8.05,843548.31
8.10,810000.25
8.15,794104.56
8.20,816106.94
8.25,798026.56
8.30,810000.25
8.35,794104.56
8.40,828571.5
8.45,801982.69
8.50,807982.5
8.55,814062.69
8.60,834931.5
8.65,801982.69
8.70,832801.88
8.75,832801.88
8.80,898780.75
8.85,812026.87
8.90,832801.88
8.95,812026.87
9.00,847916.62
9.05,868084.81
9.10,794104.56
9.15,805973.06
9.20,839220.19
9.25,803973.19
9.30,805973.06
9.35,837070.94
9.40,841379.31
9.45,739139.5
9.50,814062.69
9.55,800000.25
9.60,834931.5
9.65,814062.69
9.70,865801.69
9.75,834931.5
9.80,886747.31
9.85,832801.88
9.90,870378.87
9.95,805973.06
10.00,830681.88
10.05,790217.69
10.10,782542.88
10.15,830681.88
10.20,841379.31
10.25,801982.69
10.30,832801.88
10.35,837070.94
10.40,847916.62
10.45,798026.56
10.50,841379.31
10.55,828571.5
10.60,837070.94
10.65,782542.88
10.70,861268.06
10.75,824379.38
10.80,854545.31
10.85,782542.88
10.90,856775.56
10.95,800000.25
11.00,868084.81
11.05,771276.5
11.10,875000.37
11.15,859016.19
11.20,856775.56
11.25,856775.56
11.30,839220.19
11.35,784449
11.40,859016.19
11.45,839220.19
11.50,839220.19
11.55,807982.5
11.60,830681.88
11.65,824379.38
11.70,847916.62
11.75,794104.56
11.80,843548.31
11.85,803973.19
11.90,843548.31
11.95,812026.87
12.00,832801.88
12.05,828571.5
12.10,830681.88
12.15,798026.56
12.20,841379.31
12.25,814062.69
12.30,816106.94
12.35,774999.94
12.40,872684.5
12.45,790217.69
12.50,843548.31
12.55,767584.69
12.60,792156.56
12.65,796061
12.70,810000.25
12.75,794104.56
12.80,801982.69
12.85,807982.5
12.90,830681.88
12.95,800000.25
13.00,839220.19
13.05,800000.25
13.10,814062.69
13.15,801982.69
13.20,803973.19
13.25,805973.06
13.30,807982.5
13.35,794104.56
13.40,807982.5
13.45,807982.5
13.50,830681.88
13.55,792156.56
13.60,805973.06
13.65,801982.69
13.70,826470.06
13.75,796061
13.80,859016.19
13.85,805973.06
13.90,805973.06
