Timestamp,Channel_1
0.00,97064.49
0.05,97349.41
0.10,97254.32
0.15,97444.54
0.20,96969.69
0.25,97539.8
0.30,96685.88
0.35,96780.39
0.40,97444.54
0.45,96591.47
0.50,97349.41
0.55,97159.38
0.60,97444.54
0.65,96780.39
0.70,96780.39
0.75,96875.01
0.80,97539.8
0.85,97254.32
0.90,96875.01
0.95,97159.38
1.00,96780.39
1.05,97444.54
1.10,96875.01
1.15,97349.41
1.20,96875.01
1.25,97635.14
1.30,97444.54
1.35,96780.39
1.40,96685.88
1.45,96969.69
1.50,96875.01
1.55,96875.01
1.60,97254.32
1.65,96875.01
1.70,97159.38
1.75,96685.88
1.80,97254.32
1.85,96685.88
1.90,96497.13
1.95,96875.01
2.00,97444.54
2.05,97159.38
2.10,97254.32
2.15,97349.41
2.20,96685.88
2.25,96875.01
2.30,96875.01
2.35,97444.54
2.40,96875.01
2.45,96875.01
2.50,96875.01
2.55,96685.88
2.60,97349.41
2.65,97444.54
2.70,97444.54
2.75,96875.01
2.80,97254.32
2.85,97254.32
2.90,96685.88
2.95,97254.32
3.00,97444.54
3.05,97444.54
3.10,97254.32
3.15,97254.32
3.20,97254.32
3.25,97349.41
3.30,97349.41
3.35,96875.01
3.40,97349.41
3.45,96875.01
3.50,97349.41
3.55,97254.32
3.60,97349.41
3.65,97444.54
3.70,96875.01
3.75,97349.41
3.80,97444.54
3.85,96685.88
3.90,97254.32
3.95,97635.14
4.00,96875.01
4.05,97539.8
4.10,97444.54
4.15,97444.54
4.20,97254.32
4.25,97444.54
4.30,97444.54
4.35,97349.41
4.40,97730.55
4.45,97254.32
4.50,97349.41
4.55,97444.54
4.60,96780.39
4.65,97635.14
4.70,96875.01
4.75,97159.38
4.80,97254.32
4.85,97539.8
4.90,97444.54
4.95,97254.32
5.00,97254.32
5.05,97254.32
5.10,97539.8
5.15,97444.54
5.20,97444.54
5.25,97635.14
5.30,97635.14
5.35,97444.54
5.40,96685.88
5.45,97826.09
5.50,97254.32
5.55,97254.32
5.60,97826.09
5.65,97444.54
5.70,96875.01
5.75,97635.14
5.80,97635.14
5.85,96875.01
5.90,97444.54
5.95,97254.32
6.00,97444.54
6.05,97254.32
6.10,97349.41
6.15,97349.41
6.20,96780.39
6.25,97635.14
6.30,97254.32
6.35,97254.32
6.40,97444.54
6.45,97444.54
6.50,97539.8
6.55,97444.54
6.60,97444.54
6.65,97254.32
6.70,97349.41
6.75,97444.54
6.80,97539.8
6.85,97254.32
6.90,97349.41
6.95,97444.54
7.00,97444.54
7.05,97635.14
7.10,97444.54
7.15,97444.54
7.20,97159.38
7.25,97635.14
7.30,95933.02
7.35,97349.41
7.40,97254.32
7.45,97635.14
7.50,97349.41
7.55,97635.14
7.60,97635.14
7.65,97539.8
7.70,97349.41
7.75,97826.09
7.80,97444.54
7.85,97444.54
7.90,96969.69
7.95,96875.01
8.00,97635.14
8.05,97444.54
8.10,96875.01
8.15,97349.41
8.20,97826.09
8.25,97444.54
8.30,97635.14
8.35,97730.55
8.40,97349.41
8.45,97349.41
8.50,97254.32
8.55,97444.54
8.60,97444.54
8.65,97635.14
8.70,96780.39
8.75,97444.54
8.80,97254.32
8.85,97635.14
8.90,97635.14
8.95,97254.32
9.00,98017.41
9.05,97635.14
9.10,97635.14
9.15,97539.8
9.20,97444.54
9.25,97826.09
9.30,97444.54
9.35,97539.8
9.40,97444.54
9.45,97826.09
9.50,97635.14
9.55,97635.14
9.60,97635.14
9.65,97635.14
9.70,97254.32
9.75,97254.32
9.80,97730.55
9.85,97635.14
9.90,97635.14
9.95,97635.14
10.00,97539.8
10.05,97635.14
10.10,97635.14
10.15,97349.41
10.20,97730.55
10.25,97730.55
10.30,97444.54
10.35,96875.01
10.40,97635.14
10.45,97730.55
10.50,97635.14
10.55,97635.14
10.60,97444.54
10.65,97730.55
10.70,97635.14
10.75,97159.38
10.80,97444.54
10.85,97349.41
10.90,97826.09
10.95,97444.54
11.00,97826.09
11.05,97444.54
11.10,97444.54
11.15,97635.14
11.20,97730.55
11.25,97349.41
11.30,97349.41
11.35,97254.32
11.40,97539.8
11.45,98113.2
11.50,97349.41
11.55,97635.14
11.60,97444.54
11.65,97349.41
11.70,97826.09
11.75,97159.38
11.80,97730.55
11.85,97826.09
11.90,97826.09
11.95,97826.09
12.00,97444.54
12.05,97254.32
12.10,97635.14
12.15,97826.09
12.20,97254.32
12.25,98017.41
12.30,97826.09
12.35,97444.54
12.40,97539.8
12.45,97539.8
12.50,97635.14
12.55,97635.14
12.60,97635.14
