Timestamp,Channel_15,Channel_16,Channel_17
2026-06-18 13:37:02.382248,0.1261,-0.1566,-0.9592
2026-06-18 13:37:02.391631,0.1293,-0.1584,-0.9645
2026-06-18 13:37:02.405365,0.1276,-0.153,-0.9648
2026-06-18 13:37:02.407683,0.1283,-0.152,-0.9631
2026-06-18 13:37:02.408589,0.1252,-0.1505,-0.9626
2026-06-18 13:37:02.434480,0.113,-0.1486,-0.9616
2026-06-18 13:37:02.435919,0.1093,-0.1486,-0.9609
2026-06-18 13:37:02.442470,0.1071,-0.1476,-0.9616
2026-06-18 13:37:02.451692,0.1098,-0.1491,-0.9616
2026-06-18 13:37:02.466223,0.111,-0.1525,-0.9589
2026-06-18 13:37:02.479480,0.1105,-0.1513,-0.9567
2026-06-18 13:37:02.480854,0.111,-0.1508,-0.955
2026-06-18 13:37:02.495217,0.1113,-0.1576,-0.9536
2026-06-18 13:37:02.512522,0.1091,-0.164,-0.9516
2026-06-18 13:37:02.512882,0.1103,-0.1654,-0.9496
2026-06-18 13:37:02.524649,0.1093,-0.1627,-0.9472
2026-06-18 13:37:02.548615,0.1113,-0.1588,-0.9479
2026-06-18 13:37:02.548992,0.1091,-0.1542,-0.9514
2026-06-18 13:37:02.573486,0.1135,-0.1476,-0.9504
2026-06-18 13:37:02.573532,0.1147,-0.1449,-0.9509
2026-06-18 13:37:02.574402,0.1113,-0.1449,-0.9496
2026-06-18 13:37:02.590677,0.11,-0.1423,-0.9501
2026-06-18 13:37:02.600939,0.1071,-0.1432,-0.9501
2026-06-18 13:37:02.600988,0.1052,-0.1444,-0.9499
2026-06-18 13:37:02.614864,0.1081,-0.1435,-0.9492
2026-06-18 13:37:02.629330,0.1071,-0.1413,-0.9484
2026-06-18 13:37:02.632085,0.1069,-0.1371,-0.9528
2026-06-18 13:37:02.644672,0.1078,-0.1376,-0.9557
2026-06-18 13:37:02.691189,0.1125,-0.1423,-0.9589
2026-06-18 13:37:02.697292,0.1166,-0.1476,-0.9614
2026-06-18 13:37:02.697324,0.1193,-0.1496,-0.9614
2026-06-18 13:37:02.697770,0.1225,-0.1532,-0.9609
2026-06-18 13:37:02.698086,0.1261,-0.1608,-0.9633
2026-06-18 13:37:02.698555,0.1357,-0.1627,-0.9648
2026-06-18 13:37:02.720264,0.1379,-0.1632,-0.9689
2026-06-18 13:37:02.721418,0.1432,-0.1613,-0.9711
2026-06-18 13:37:02.734471,0.1432,-0.163,-0.974
2026-06-18 13:37:02.749364,0.143,-0.164,-0.9762
2026-06-18 13:37:02.750747,0.1444,-0.1669,-0.9775
2026-06-18 13:37:02.764673,0.1442,-0.1679,-0.977
2026-06-18 13:37:02.810715,0.1427,-0.1774,-0.9748
2026-06-18 13:37:02.811373,0.1396,-0.1789,-0.9719
2026-06-18 13:37:02.811398,0.1325,-0.1801,-0.9694
2026-06-18 13:37:02.812636,0.1279,-0.1691,-0.966
2026-06-18 13:37:02.813488,0.1257,-0.1637,-0.9631
2026-06-18 13:37:02.830188,0.1222,-0.1615,-0.9609
2026-06-18 13:37:02.840432,0.1235,-0.1588,-0.9609
2026-06-18 13:37:02.846563,0.1244,-0.154,-0.9614
2026-06-18 13:37:02.856804,0.1244,-0.1564,-0.9587
2026-06-18 13:37:02.869647,0.1227,-0.1566,-0.956
2026-06-18 13:37:02.870961,0.1205,-0.1549,-0.9557
2026-06-18 13:37:02.884597,0.1193,-0.1542,-0.9526
2026-06-18 13:37:02.919698,0.1157,-0.151,-0.9514
2026-06-18 13:37:02.920195,0.1149,-0.1457,-0.9511
2026-06-18 13:37:02.936131,0.112,-0.1381,-0.9514
2026-06-18 13:37:02.936165,0.1081,-0.132,-0.9518
2026-06-18 13:37:02.936673,0.1035,-0.1344,-0.9509
2026-06-18 13:37:02.946374,0.1005,-0.1303,-0.9506
2026-06-18 13:37:02.959505,0.0996,-0.1313,-0.9514
2026-06-18 13:37:02.960931,0.0988,-0.1337,-0.9538
2026-06-18 13:37:02.974492,0.0976,-0.1357,-0.9504
2026-06-18 13:37:03.004352,0.0983,-0.1403,-0.9477
2026-06-18 13:37:03.006131,0.0947,-0.1383,-0.9445
2026-06-18 13:37:03.007860,0.091,-0.1374,-0.9472
2026-06-18 13:37:03.009658,0.0966,-0.1332,-0.9472
2026-06-18 13:37:03.039403,0.0939,-0.1388,-0.9467
2026-06-18 13:37:03.040521,0.0917,-0.1408,-0.955
2026-06-18 13:37:03.043079,0.1,-0.1449,-0.9528
2026-06-18 13:37:03.049751,0.1,-0.142,-0.9523
2026-06-18 13:37:03.065328,0.1017,-0.1413,-0.9538
2026-06-18 13:37:03.080084,0.1088,-0.144,-0.9543
2026-06-18 13:37:03.084362,0.1122,-0.1452,-0.9597
2026-06-18 13:37:03.109307,0.1139,-0.1413,-0.9618
2026-06-18 13:37:03.111340,0.1196,-0.1462,-0.9604
2026-06-18 13:37:03.112689,0.1203,-0.1518,-0.9614
2026-06-18 13:37:03.125186,0.1186,-0.1603,-0.9606
2026-06-18 13:37:03.154197,0.1247,-0.1664,-0.9611
2026-06-18 13:37:03.157946,0.1242,-0.172,-0.9665
2026-06-18 13:37:03.159380,0.1227,-0.174,-0.9714
2026-06-18 13:37:03.161738,0.1269,-0.1781,-0.9719
2026-06-18 13:37:03.169339,0.1247,-0.1732,-0.9684
2026-06-18 13:37:03.184928,0.1252,-0.1691,-0.9628
2026-06-18 13:37:03.200188,0.1235,-0.1691,-0.9614
2026-06-18 13:37:03.214448,0.1227,-0.1674,-0.9601
2026-06-18 13:37:03.215809,0.1186,-0.1662,-0.9616
2026-06-18 13:37:03.217866,0.1164,-0.1691,-0.9636
2026-06-18 13:37:03.229592,0.1166,-0.171,-0.9628
2026-06-18 13:37:03.275196,0.1181,-0.1706,-0.9567
2026-06-18 13:37:03.278391,0.113,-0.1671,-0.9553
2026-06-18 13:37:03.279641,0.11,-0.1618,-0.9548
2026-06-18 13:37:03.279964,0.1078,-0.1547,-0.9511
2026-06-18 13:37:03.285970,0.1027,-0.152,-0.9545
2026-06-18 13:37:03.293410,0.0991,-0.1515,-0.9572
2026-06-18 13:37:03.306958,0.0998,-0.1488,-0.9572
2026-06-18 13:37:03.320898,0.0942,-0.1471,-0.9579
2026-06-18 13:37:03.321720,0.0964,-0.1498,-0.9572
2026-06-18 13:37:03.334391,0.0964,-0.1505,-0.9536
2026-06-18 13:37:03.349391,0.0947,-0.1466,-0.9511
2026-06-18 13:37:03.350607,0.0976,-0.1418,-0.9489
2026-06-18 13:37:03.379310,0.0993,-0.1364,-0.9492
2026-06-18 13:37:03.381101,0.1005,-0.1325,-0.9531
2026-06-18 13:37:03.382989,0.1022,-0.1283,-0.9562
2026-06-18 13:37:03.394561,0.1059,-0.133,-0.9609
2026-06-18 13:37:03.409370,0.1081,-0.1398,-0.9609
2026-06-18 13:37:03.411660,0.1078,-0.1418,-0.9594
