Timestamp,Channel_1
32:25.4,830681.88
32:25.5,774999.94
32:25.5,794104.56
32:25.6,800000.25
32:25.6,807982.5
32:25.7,801982.69
32:25.7,832801.88
32:25.8,801982.69
32:25.8,812026.87
32:25.9,807982.5
32:25.9,800000.25
32:26.0,782542.88
32:26.0,832801.88
32:26.1,801982.69
32:26.1,834931.5
32:26.2,805973.06
32:26.2,832801.88
32:26.3,826470.06
32:26.3,798026.56
32:26.4,828571.5
32:26.4,861268.06
32:26.5,810000.25
32:26.5,832801.88
32:26.6,778755.81
32:26.6,830681.88
32:26.7,801982.69
32:26.8,893931.56
32:26.8,805973.06
32:26.9,796061
32:26.9,800000.25
32:27.0,814062.69
32:27.0,798026.56
32:27.0,805973.06
32:27.1,826470.06
32:27.2,810000.25
32:27.2,805973.06
32:27.3,847916.62
32:27.3,784449
32:27.3,810000.25
32:27.4,807982.5
32:27.5,830681.88
32:27.5,798026.56
32:27.6,801982.69
32:27.6,805973.06
32:27.7,798026.56
32:27.7,841379.31
32:27.8,841379.31
32:27.8,832801.88
32:27.9,805973.06
32:27.9,830681.88
32:28.0,800000.25
32:28.0,807982.5
32:28.1,805973.06
32:28.1,986206.44
32:28.2,807982.5
32:28.2,798026.56
32:28.3,816106.94
32:28.3,814062.69
32:28.4,805973.06
32:28.4,847916.62
32:28.5,865801.69
32:28.5,800000.25
32:28.6,830681.88
32:28.6,834931.5
32:28.7,805973.06
32:28.7,794104.56
32:28.8,751351.38
32:28.8,800000.25
32:28.8,830681.88
32:28.9,877326.62
32:29.0,790217.69
32:29.0,805973.06
32:29.1,834931.5
32:29.1,834931.5
32:29.1,884375.31
32:29.2,801982.69
32:29.3,814062.69
32:29.3,841379.31
32:29.4,841379.31
32:29.4,810000.25
32:29.4,794104.56
32:29.5,875000.37
32:29.6,805973.06
32:29.6,839220.19
32:29.7,798026.56
32:29.7,879664.75
32:29.8,830681.88
32:29.8,790217.69
32:29.9,805973.06
32:29.9,826470.06
32:30.0,792156.56
32:30.0,832801.88
32:30.0,812026.87
32:30.1,816106.94
32:30.2,839220.19
32:30.2,856775.56
32:30.3,774999.94
32:30.3,828571.5
32:30.4,807982.5
32:30.4,834931.5
32:30.5,739139.5
32:30.5,868084.81
32:30.6,709288.94
32:30.6,843548.31
32:30.7,826470.06
32:30.7,841379.31
32:30.8,826470.06
32:30.8,830681.88
32:30.9,830681.88
32:30.9,843548.31
32:30.9,865801.69
32:31.0,843548.31
32:31.1,826470.06
32:31.1,843548.31
32:31.2,800000.25
32:31.2,810000.25
32:31.3,780645
32:31.3,843548.31
32:31.4,732316.75
32:31.4,843548.31
32:31.5,810000.25
32:31.5,847916.62
32:31.5,801982.69
32:31.6,843548.31
32:31.7,803973.19
32:31.7,856775.56
32:31.8,814062.69
32:31.8,843548.31
32:31.8,751351.38
32:31.9,843548.31
32:32.0,776873.5
32:32.0,843548.31
32:32.1,778755.81
32:32.1,826470.06
32:32.1,794104.56
32:32.2,814062.69
32:32.3,794104.56
