Timestamp,Channel_5,Channel_6,Channel_8,Channel_9,Channel_10
2026-06-19 10:50:21.685164,84625.8,106401.21,165736.56,114173.64,111300.31
2026-06-19 10:50:21.686080,84959.34,105985.92,167997.36,113281.27,110865.09
2026-06-19 10:50:21.699128,85294.12,105882.35,168348.64,115867.16,111846.88
2026-06-19 10:50:21.713740,85294.12,107341.78,167997.36,114397.91,110756.57
2026-06-19 10:50:21.726520,84792.41,107027.3,166254.86,115073.52,111518.59
2026-06-19 10:50:21.731720,84459.47,105985.92,166081.86,115867.16,112286.16
2026-06-19 10:50:21.743784,84625.8,105985.92,167997.36,113059.3,110865.09
2026-06-19 10:50:21.745828,84459.47,105366.09,166081.86,115073.52,111956.52
2026-06-19 10:50:21.757163,84293.42,105675.52,164705.88,115073.52,111300.31
2026-06-19 10:50:21.773869,83962.26,105882.35,168172.86,114847.84,111409.41
2026-06-19 10:50:21.773869,83962.26,105572.3,166081.86,114735.19,111956.52
2026-06-19 10:50:21.787836,84459.47,105985.92,167822.08,114173.64,111082.49
2026-06-19 10:50:21.804338,84875.85,107027.3,166254.86,114960.63,111300.31
2026-06-19 10:50:21.806355,84625.8,106193.36,165909.08,115073.52,111518.59
2026-06-19 10:50:21.816819,84127.7,105675.52,165909.08,114735.19,111300.31
2026-06-19 10:50:21.832738,84959.34,106401.21,166254.86,115526.33,111082.49
2026-06-19 10:50:21.834754,83797.13,105778.9,167647.09,114847.84,111300.31
2026-06-19 10:50:21.849216,85126.59,105366.09,166601.59,113059.3,110539.84
2026-06-19 10:50:21.863606,84293.42,105469.14,165909.08,113170.21,110756.57
2026-06-19 10:50:21.873673,84625.8,105366.09,167997.36,114397.91,111409.41
2026-06-19 10:50:21.882287,83797.13,105572.3,165909.08,114285.7,111300.31
2026-06-19 10:50:21.888465,84959.34,105985.92,166254.86,114622.64,111409.41
2026-06-19 10:50:21.888465,84625.8,105778.9,165048.53,115526.33,111300.31
2026-06-19 10:50:21.910333,85210.3,105778.9,166428.09,113281.27,110431.66
2026-06-19 10:50:21.923998,83962.26,105675.52,165909.08,114735.19,110865.09
2026-06-19 10:50:21.924794,84044.95,105572.3,166254.86,114285.7,111300.31
2026-06-19 10:50:21.938970,84625.8,105572.3,168172.86,113170.21,110323.57
2026-06-19 10:50:21.954061,84459.47,106193.36,167997.36,114622.64,111082.49
2026-06-19 10:50:21.954061,83797.13,105882.35,165564.19,114847.84,110973.72
2026-06-19 10:50:21.968583,84459.47,105366.09,167997.36,114173.64,111191.33
2026-06-19 10:50:21.982261,84293.42,105778.9,167997.36,112837.84,111191.33
2026-06-19 10:50:21.982261,83879.66,105985.92,165909.08,114847.84,110973.72
2026-06-19 10:50:22.000573,84792.41,105572.3,165736.56,114735.19,111082.49
2026-06-19 10:50:22.015074,84709.06,106401.21,168172.86,114061.69,110648.15
2026-06-19 10:50:22.027817,83879.66,105882.35,165392.08,114622.64,111082.49
2026-06-19 10:50:22.027817,83714.67,105985.92,166254.86,115526.33,111627.91
2026-06-19 10:50:22.042538,84127.7,105366.09,167997.36,112837.84,110431.66
2026-06-19 10:50:22.054897,83632.29,105675.52,165909.08,115073.52,111518.59
2026-06-19 10:50:22.054897,83879.66,105778.9,168524.61,112948.52,110648.15
2026-06-19 10:50:22.072724,84625.8,105985.92,166254.86,114397.91,110865.09
2026-06-19 10:50:22.075752,83632.29,106193.36,166254.86,114847.84,111082.49
2026-06-19 10:50:22.088190,83549.97,105263.16,165220.19,114622.64,111191.33
2026-06-19 10:50:22.102539,84459.47,106089.58,165220.19,114622.64,110756.57
2026-06-19 10:50:22.102539,83467.75,106193.36,166081.86,114397.91,111300.31
2026-06-19 10:50:22.118732,83632.29,105985.92,165564.19,114173.64,111300.31
2026-06-19 10:50:22.133350,83714.67,106193.36,165909.08,116094.99,111518.59
2026-06-19 10:50:22.135593,84792.41,105985.92,167997.36,113838.12,110431.66
2026-06-19 10:50:22.145310,83797.13,105985.92,165392.08,112837.84,110431.66
2026-06-19 10:50:22.163529,84127.7,105263.16,168172.86,113281.27,110648.15
2026-06-19 10:50:22.165546,84376.41,105778.9,166254.86,114397.91,110756.57
2026-06-19 10:50:22.172014,84792.41,105985.92,166254.86,112616.82,110215.61
2026-06-19 10:50:22.192474,84459.47,105778.9,165220.19,112837.84,110431.66
2026-06-19 10:50:22.196507,84709.06,106089.58,165564.19,113170.21,110215.61
2026-06-19 10:50:22.206596,83303.48,105985.92,165220.19,114960.63,111300.31
2026-06-19 10:50:22.222092,84459.47,105985.92,168700.8,113059.3,110323.57
2026-06-19 10:50:22.222092,83632.29,105572.3,165564.19,114622.64,111409.41
2026-06-19 10:50:22.238694,84709.06,106089.58,166254.86,112727.27,110215.61
2026-06-19 10:50:22.255009,84127.7,106193.36,166601.59,114173.64,109784.84
2026-06-19 10:50:22.255009,84127.7,105469.14,166254.86,112616.82,110215.61
2026-06-19 10:50:22.268501,84625.8,105263.16,167647.09,112837.84,110648.15
2026-06-19 10:50:22.284400,83467.75,105160.31,166081.86,114173.64,110865.09
2026-06-19 10:50:22.284400,84792.41,105882.35,167647.09,113949.85,110648.15
2026-06-19 10:50:22.298434,84376.41,105263.16,165392.08,114622.64,110539.84
2026-06-19 10:50:22.313575,84959.34,106401.21,165909.08,113949.85,110648.15
2026-06-19 10:50:22.316402,84709.06,106193.36,168172.86,112727.27,110648.15
2026-06-19 10:50:22.328216,84875.85,105985.92,165564.19,113059.3,110431.66
2026-06-19 10:50:22.342777,84875.85,107027.3,167647.09,113059.3,110215.61
2026-06-19 10:50:22.344792,84044.95,105985.92,168700.8,112948.52,110539.84
2026-06-19 10:50:22.357144,84459.47,106089.58,165909.08,114510.22,110865.09
2026-06-19 10:50:22.368872,83962.26,105469.14,166254.86,114847.84,111518.59
2026-06-19 10:50:22.368872,83879.66,105778.9,168348.64,114173.64,110865.09
2026-06-19 10:50:22.387297,84459.47,105778.9,168348.64,114285.7,110973.72
2026-06-19 10:50:22.403493,83303.48,105366.09,165909.08,114285.7,111300.31
2026-06-19 10:50:22.405507,85126.59,106193.36,165909.08,114510.22,110539.84
2026-06-19 10:50:22.417945,83797.13,106818.19,166081.86,114622.64,111082.49
2026-06-19 10:50:22.434467,84625.8,105572.3,168172.86,114285.7,111082.49
2026-06-19 10:50:22.434467,83632.29,105366.09,166254.86,114173.64,111518.59
2026-06-19 10:50:22.448902,83797.13,104852.42,167997.36,113949.85,110648.15
2026-06-19 10:50:22.465455,84875.85,106401.21,167647.09,113059.3,110865.09
2026-06-19 10:50:22.472401,82812.49,105366.09,165909.08,114285.7,111191.33
2026-06-19 10:50:22.480393,83797.13,106401.21,166254.86,114397.91,111082.49
2026-06-19 10:50:22.494794,84459.47,105882.35,164705.88,114173.64,111300.31
2026-06-19 10:50:22.494794,83549.97,105675.52,167822.08,114397.91,111191.33
2026-06-19 10:50:22.508520,83632.29,104750.01,166081.86,114735.19,111300.31
2026-06-19 10:50:22.519579,83467.75,105675.52,167997.36,114847.84,111300.31
2026-06-19 10:50:22.519579,85126.59,106193.36,165909.08,112616.82,110648.15
2026-06-19 10:50:22.539495,84875.85,107027.3,165909.08,114285.7,110865.09
2026-06-19 10:50:22.553915,85126.59,105985.92,166254.86,113949.85,110973.72
2026-06-19 10:50:22.553915,84459.47,105572.3,167822.08,113838.12,110648.15
2026-06-19 10:50:22.571203,84127.7,106297.23,166081.86,114061.69,110756.57
2026-06-19 10:50:22.582369,83303.48,105882.35,164877.09,114397.91,110973.72
2026-06-19 10:50:22.585724,83303.48,105366.09,165564.19,114173.64,110865.09
2026-06-19 10:50:22.598864,84376.41,106922.68,167472.27,114285.7,110973.72
2026-06-19 10:50:22.613742,84792.41,106089.58,165392.08,115526.33,110756.57
2026-06-19 10:50:22.615562,84875.85,105263.16,166254.86,114397.91,112176.16
2026-06-19 10:50:22.624278,84959.34,105985.92,165909.08,113170.21,110648.15
2026-06-19 10:50:22.643827,84875.85,106505.31,167822.08,113281.27,110323.57
2026-06-19 10:50:22.645842,84542.59,105985.92,168172.86,113170.21,110539.84
2026-06-19 10:50:22.657633,84625.8,105778.9,166428.09,113281.27,110865.09
2026-06-19 10:50:22.676536,85378.0,106193.36,165392.08,113059.3,110648.15
2026-06-19 10:50:22.678547,84792.41,105985.92,168700.8,112616.82,110756.57
2026-06-19 10:50:22.687797,84959.34,105985.92,165909.08,114173.64,110648.15
2026-06-19 10:50:22.703859,84376.41,105366.09,168172.86,113949.85,110865.09
2026-06-19 10:50:22.703859,83879.66,105778.9,166081.86,115526.33,111956.52
2026-06-19 10:50:22.721282,84459.47,104750.01,166601.59,113059.3,110756.57
2026-06-19 10:50:22.732767,84459.47,105366.09,167997.36,113281.27,110865.09
2026-06-19 10:50:22.735284,83962.26,105985.92,166254.86,114510.22,111082.49
2026-06-19 10:50:22.749226,84625.8,105985.92,166254.86,112837.84,110756.57
2026-06-19 10:50:22.763701,84625.8,105572.3,168172.86,113059.3,110648.15
2026-06-19 10:50:22.766905,84792.41,105366.09,167647.09,113281.27,111191.33
2026-06-19 10:50:22.778203,84625.8,105778.9,167647.09,112948.52,110539.84
2026-06-19 10:50:22.792592,83385.59,105675.52,165564.19,115639.8,111518.59
2026-06-19 10:50:22.795435,84376.41,105985.92,167997.36,113949.85,110756.57
2026-06-19 10:50:22.808172,83467.75,105366.09,166254.86,114285.7,111300.31
2026-06-19 10:50:22.823675,84959.34,105778.9,166428.09,114285.7,111300.31
2026-06-19 10:50:22.824600,84542.59,107236.83,165909.08,114847.84,111082.49
2026-06-19 10:50:22.836898,84709.06,105985.92,166254.86,114397.91,111082.49
2026-06-19 10:50:22.854536,84625.8,106297.23,165909.08,115639.8,111956.52
2026-06-19 10:50:22.854536,85210.3,106818.19,165736.56,114173.64,111082.49
2026-06-19 10:50:22.867858,83797.13,105985.92,165736.56,114397.91,111518.59
2026-06-19 10:50:22.884473,84542.59,107027.3,165392.08,115073.52,111956.52
2026-06-19 10:50:22.884473,85461.96,106297.23,166254.86,113059.3,110865.09
2026-06-19 10:50:22.899013,84959.34,106193.36,168348.64,113059.3,110865.09
2026-06-19 10:50:22.913329,85042.93,107027.3,167647.09,114510.22,111518.59
2026-06-19 10:50:22.914123,85294.12,107868.02,167997.36,112948.52,110865.09
2026-06-19 10:50:22.924528,84875.85,105778.9,166254.86,113281.27,111300.31
2026-06-19 10:50:22.945934,85294.12,105778.9,168524.61,113059.3,110865.09
2026-06-19 10:50:22.945934,84459.47,106089.58,165909.08,114622.64,111191.33
2026-06-19 10:50:22.958054,84959.34,106401.21,166254.86,114061.69,111082.49
2026-06-19 10:50:22.974760,85798.55,107236.83,165564.19,114622.64,111409.41
2026-06-19 10:50:22.974760,85461.96,106401.21,167647.09,114397.91,111082.49
2026-06-19 10:50:22.987276,83962.26,106401.21,166254.86,114847.84,111300.31
2026-06-19 10:50:23.029397,85210.3,105675.52,164705.88,114847.84,111518.59
