Timestamp,Channel_9,Channel_10
2026-06-17 15:07:15.793013,178192.94,164877.09
2026-06-17 15:07:15.796257,177815.47,164534.89
2026-06-17 15:07:15.803776,179141.11,164877.09
2026-06-17 15:07:15.818054,180095.75,165220.19
2026-06-17 15:07:15.819842,179331.5,164534.89
2026-06-17 15:07:15.833495,179713.11,164877.09
2026-06-17 15:07:15.848048,179904.3,165220.19
2026-06-17 15:07:15.849784,179141.11,165220.19
2026-06-17 15:07:15.862805,179522.19,164877.09
2026-06-17 15:07:15.878075,179713.11,165220.19
2026-06-17 15:07:15.879758,179331.5,165564.19
2026-06-17 15:07:15.927513,179331.5,164877.09
2026-06-17 15:07:15.928249,179713.11,165564.19
2026-06-17 15:07:15.928707,178192.94,165564.19
2026-06-17 15:07:15.930192,179331.5,165048.53
2026-06-17 15:07:15.930818,179331.5,164705.88
2026-06-17 15:07:15.953450,179522.19,165220.19
2026-06-17 15:07:15.969041,179331.5,165564.19
2026-06-17 15:07:15.971379,180095.75,165220.19
2026-06-17 15:07:15.971709,179141.11,165564.19
2026-06-17 15:07:15.988246,179713.11,164534.89
2026-06-17 15:07:15.998995,179331.5,164877.09
2026-06-17 15:07:16.002337,180095.75,165220.19
2026-06-17 15:07:16.031889,179331.5,165220.19
2026-06-17 15:07:16.031932,178950.95,165220.19
2026-06-17 15:07:16.033883,178004.08,165048.53
2026-06-17 15:07:16.044231,179522.19,164877.09
2026-06-17 15:07:16.057887,179904.3,165564.19
2026-06-17 15:07:16.060076,178950.95,165220.19
2026-06-17 15:07:16.073364,179141.11,164877.09
2026-06-17 15:07:16.097375,178950.95,165392.08
2026-06-17 15:07:16.097965,179713.11,165220.19
2026-06-17 15:07:16.103927,178192.94,165048.53
2026-06-17 15:07:16.120922,178192.94,164534.89
2026-06-17 15:07:16.121542,178192.94,165564.19
2026-06-17 15:07:16.133387,179331.5,165048.53
2026-06-17 15:07:16.148298,177627.12,164877.09
2026-06-17 15:07:16.149742,178004.08,165392.08
2026-06-17 15:07:16.164472,179522.19,165048.53
2026-06-17 15:07:16.178091,179713.11,165220.19
2026-06-17 15:07:16.179888,177815.47,165736.56
2026-06-17 15:07:16.193565,178192.94,165048.53
2026-06-17 15:07:16.208487,178382.06,165392.08
2026-06-17 15:07:16.210302,179331.5,165220.19
2026-06-17 15:07:16.238109,179331.5,164705.88
2026-06-17 15:07:16.239805,179331.5,165392.08
2026-06-17 15:07:16.241703,180287.52,165564.19
2026-06-17 15:07:16.297970,178192.94,165220.19
2026-06-17 15:07:16.299804,179331.5,165048.53
2026-06-17 15:07:16.301770,177627.12,165564.19
2026-06-17 15:07:16.303777,180095.75,165048.53
2026-06-17 15:07:16.305338,179331.5,165220.19
2026-06-17 15:07:16.307428,179141.11,164705.88
2026-06-17 15:07:16.312947,179331.5,165220.19
2026-06-17 15:07:16.345910,179713.11,165564.19
2026-06-17 15:07:16.346611,178950.95,165048.53
2026-06-17 15:07:16.348230,179904.3,165392.08
2026-06-17 15:07:16.359201,177627.12,165564.19
