Timestamp,Channel_9,Channel_10,Channel_15,Channel_16,Channel_17
2026-06-18 10:00:42.750667,169407.91,149695.12,0.1918,0.2255,-0.9333
2026-06-18 10:00:42.793706,174647.91,163005.73,0.1908,0.225,-0.9333
2026-06-18 10:00:42.795974,168877.17,155299.27,0.1896,0.2174,-0.9323
2026-06-18 10:00:42.805648,172273.94,158522.72,0.1886,0.2152,-0.9331
2026-06-18 10:00:42.812481,164877.09,149087.59,0.1893,0.2155,-0.9345
2026-06-18 10:00:42.812970,173364.47,156900.88,0.1889,0.222,-0.9362
2026-06-18 10:00:42.816006,166254.86,150919.12,0.1906,0.224,-0.9345
2026-06-18 10:00:42.824933,175943.42,163513.52,0.1906,0.2216,-0.9338
2026-06-18 10:00:42.834895,170118.73,145798.31,0.1915,0.2242,-0.9316
2026-06-18 10:00:42.839058,171371.77,156097.58,0.1896,0.2259,-0.9326
2026-06-18 10:00:42.840712,168172.86,150000.0,0.1886,0.2257,-0.9335
2026-06-18 10:00:42.853753,172273.94,160330.55,0.1889,0.2242,-0.9335
2026-06-18 10:00:42.870426,164705.88,149390.97,0.1893,0.2247,-0.935
2026-06-18 10:00:42.871939,171371.77,152933.89,0.1881,0.2223,-0.9333
2026-06-18 10:00:42.883860,165564.19,151535.66,0.1898,0.2213,-0.934
2026-06-18 10:00:42.913651,173729.98,157223.58,0.1886,0.224,-0.9343
2026-06-18 10:00:42.928507,166601.59,145798.31,0.1908,0.2252,-0.934
2026-06-18 10:00:42.930492,171912.34,156900.88,0.1908,0.2237,-0.9323
2026-06-18 10:00:42.932561,167997.36,147581.62,0.1906,0.223,-0.9343
2026-06-18 10:00:42.934151,172273.94,162163.86,0.1886,0.2218,-0.934
2026-06-18 10:00:42.947999,168700.8,155458.48,0.1903,0.2213,-0.9328
2026-06-18 10:00:42.965334,175201.58,156900.88,0.1903,0.2225,-0.9343
2026-06-18 10:00:42.966652,165564.19,147731.39,0.1881,0.2242,-0.9343
2026-06-18 10:00:42.977930,171371.77,160994.23,0.1901,0.224,-0.9338
2026-06-18 10:00:42.995232,165564.19,147282.59,0.1891,0.2242,-0.936
2026-06-18 10:00:42.995455,173182.11,159505.69,0.1884,0.2237,-0.9355
2026-06-18 10:00:43.004534,164534.89,152933.89,0.1879,0.2242,-0.9331
2026-06-18 10:00:43.020687,171371.77,157385.3,0.1891,0.223,-0.9323
2026-06-18 10:00:43.035192,165564.19,148332.31,0.1889,0.224,-0.9331
2026-06-18 10:00:43.035226,173729.98,155140.2,0.1903,0.2259,-0.9348
2026-06-18 10:00:43.050192,167647.09,148031.5,0.1906,0.2255,-0.9328
2026-06-18 10:00:43.064472,171192.05,156739.81,0.1915,0.2257,-0.9343
2026-06-18 10:00:43.065757,164534.89,148936.16,0.1901,0.224,-0.9331
2026-06-18 10:00:43.079427,173182.11,158196.72,0.1911,0.2228,-0.9321
2026-06-18 10:00:43.093631,166081.86,148332.31,0.1911,0.2225,-0.9348
2026-06-18 10:00:43.095298,173364.47,155617.94,0.1891,0.2233,-0.9355
2026-06-18 10:00:43.139268,166254.86,147581.62,0.1898,0.2237,-0.9333
2026-06-18 10:00:43.159349,174647.91,157223.58,0.1915,0.2242,-0.9321
2026-06-18 10:00:43.159914,167822.08,148181.83,0.1901,0.2218,-0.9313
2026-06-18 10:00:43.161691,173913.08,155617.94,0.1898,0.2203,-0.9338
