Timestamp,Channel_5,Channel_6,Channel_8,Channel_9,Channel_10
2026-06-19 10:36:16.569570,71770.13,102722.78,158359.62,116666.67,106193.36
2026-06-19 10:36:16.571153,72275.97,102322.13,159505.69,117011.12,106401.21
2026-06-19 10:36:16.588456,72493.68,102823.18,158522.72,113059.3,106089.58
2026-06-19 10:36:16.599524,72058.82,101923.08,158196.72,117472.13,106193.36
2026-06-19 10:36:16.604238,72421.05,102522.25,158034.03,116437.64,105882.35
2026-06-19 10:36:16.612723,72639.12,102722.78,157871.53,114285.7,106297.23
2026-06-19 10:36:16.628423,72131.14,101923.08,159177.2,116094.99,106193.36
2026-06-19 10:36:16.628423,72566.38,102322.13,157547.17,116666.67,106193.36
2026-06-19 10:36:16.645503,72131.14,101724.13,160165.17,112616.82,105778.9
2026-06-19 10:36:16.659584,72348.48,102322.13,157709.25,117587.66,106401.21
2026-06-19 10:36:16.661098,72639.12,101724.13,159177.2,114847.84,106193.36
2026-06-19 10:36:16.676844,71626.16,102122.41,160165.17,113281.27,106401.21
2026-06-19 10:36:16.687026,72784.81,102122.41,159505.69,115753.44,105985.92
2026-06-19 10:36:16.687026,72566.38,102422.16,158034.03,116552.07,105675.52
2026-06-19 10:36:16.702194,72203.54,102322.13,160165.17,112948.52,105675.52
2026-06-19 10:36:16.718475,72275.97,102722.78,158196.72,116896.19,106193.36
2026-06-19 10:36:16.718475,72421.05,102522.25,157547.17,116209.09,105985.92
2026-06-19 10:36:16.734986,72203.54,102122.41,159341.34,114173.64,105675.52
2026-06-19 10:36:16.750960,72639.12,102722.78,160000.03,115753.44,105675.52
2026-06-19 10:36:16.751553,72784.81,102022.7,160000.03,115867.16,105572.3
2026-06-19 10:36:16.766311,72203.54,102022.7,159835.05,112948.52,105985.92
2026-06-19 10:36:16.780391,72639.12,102722.78,160000.03,116209.09,105985.92
2026-06-19 10:36:16.780391,73370.02,102322.13,158034.03,116552.07,106089.58
2026-06-19 10:36:16.796886,72784.81,102422.16,159177.2,114285.7,106297.23
2026-06-19 10:36:16.809062,73370.02,102722.78,159177.2,115981.0,105366.09
2026-06-19 10:36:16.809062,72203.54,102322.13,159013.31,118051.12,107132.03
2026-06-19 10:36:16.826153,72857.75,102522.25,160165.17,112837.84,105675.52
2026-06-19 10:36:16.839600,72639.12,102522.25,158196.72,117935.06,106401.21
2026-06-19 10:36:16.839600,73516.95,102722.78,159670.23,116209.09,105882.35
2026-06-19 10:36:16.847931,73516.95,102422.16,159670.23,115753.44,106922.68
2026-06-19 10:36:16.869602,72493.68,102722.78,157385.3,117935.06,105985.92
2026-06-19 10:36:16.869602,73370.02,103024.3,160165.17,116094.99,105985.92
2026-06-19 10:36:16.884691,72930.74,102722.78,160994.23,113281.27,105985.92
2026-06-19 10:36:16.899576,72421.05,102522.25,160000.03,117356.68,106401.21
2026-06-19 10:36:16.899576,72203.54,102322.13,158522.72,117819.16,105778.9
2026-06-19 10:36:16.907694,73516.95,102522.25,161160.69,114622.64,106089.58
2026-06-19 10:36:16.929832,72930.74,102122.41,160496.17,116896.19,106193.36
2026-06-19 10:36:16.929832,73811.54,103024.3,160330.55,116094.99,105778.9
2026-06-19 10:36:16.942111,72857.75,102422.16,161828.66,113281.27,105778.9
2026-06-19 10:36:16.957978,72930.74,102422.16,160496.17,115981.0,105882.35
2026-06-19 10:36:16.957978,73811.54,103124.99,159177.2,116896.19,106089.58
