Timestamp,Channel_1
07:52.2,44291.76
07:52.3,44495.41
07:52.3,44342.61
07:52.4,44546.42
07:52.4,44190.14
07:52.5,44342.61
07:52.5,44240.93
07:52.6,44495.41
07:52.6,44190.14
07:52.7,44393.51
07:52.7,44190.14
07:52.8,44088.67
07:52.8,44088.67
07:52.9,44240.93
07:52.9,44190.14
07:53.0,44342.61
07:53.0,44190.14
07:53.1,44291.76
07:53.1,44139.39
07:53.2,39761.09
07:53.2,42782.43
07:53.3,44190.14
07:53.3,44190.14
07:53.4,44240.93
07:53.5,44139.39
07:53.5,44240.93
07:53.5,44088.67
07:53.6,44291.76
07:53.6,44088.67
07:53.7,44291.76
07:53.8,44190.14
07:53.8,44393.51
07:53.8,44190.14
07:53.9,44240.93
07:53.9,44291.76
07:54.0,44393.51
07:54.1,44139.39
07:54.1,44240.93
07:54.1,44190.14
07:54.2,44393.51
07:54.2,44088.67
07:54.3,44190.14
07:54.4,43785.11
07:54.4,44291.76
07:54.4,44190.14
07:54.5,44495.41
07:54.5,44190.14
07:54.6,44139.39
07:54.7,44190.14
07:54.7,44393.51
07:54.7,43987.34
07:54.8,44393.51
07:54.8,43684.21
07:54.9,43633.81
07:55.0,44190.14
07:55.0,44139.39
07:55.0,44088.67
07:55.1,44393.51
07:55.1,44190.14
07:55.2,44393.51
07:55.3,44190.14
07:55.3,44190.14
07:55.3,44240.93
07:55.4,44291.76
07:55.4,44342.61
07:55.5,44139.39
07:55.6,44291.76
07:55.6,44393.51
07:55.6,44190.14
07:55.7,44342.61
07:55.7,44190.14
07:55.8,44291.76
07:55.9,44291.76
07:55.9,44139.39
07:55.9,44495.41
07:56.0,44648.53
07:56.1,44088.67
07:56.1,44444.45
07:56.2,44190.14
07:56.2,44393.51
07:56.2,44393.51
07:56.3,43886.15
07:56.3,44088.67
07:56.4,44291.76
07:56.5,44291.76
07:56.5,44190.14
07:56.5,44088.67
07:56.6,44139.39
07:56.6,44240.93
07:56.7,44139.39
07:56.8,44444.45
07:56.8,44190.14
07:56.8,44342.61
07:56.9,44291.76
07:56.9,44240.93
07:57.0,44444.45
07:57.1,44088.67
07:57.1,44291.76
07:57.1,44240.93
07:57.2,44240.93
07:57.2,44393.51
07:57.3,44088.67
07:57.4,44291.76
07:57.4,44190.14
07:57.4,44393.51
07:57.5,44240.93
07:57.5,44495.41
07:57.6,44190.14
07:57.7,43987.34
07:57.7,44190.14
07:57.7,44291.76
07:57.8,43987.34
07:57.8,44393.51
07:57.9,44190.14
07:58.0,44291.76
07:58.0,44342.61
07:58.0,44291.76
07:58.1,44393.51
07:58.1,44291.76
07:58.2,44190.14
07:58.3,44240.93
07:58.3,44190.14
07:58.3,44342.61
07:58.4,44240.93
07:58.4,44342.61
07:58.5,44291.76
07:58.6,44190.14
07:58.6,44546.42
07:58.6,44393.51
07:58.7,44342.61
07:58.7,44597.45
07:58.8,44291.76
07:58.9,44342.61
07:58.9,44139.39
07:58.9,44495.41
07:59.0,44495.41
07:59.0,47037.7
07:59.1,44699.65
07:59.2,44240.93
07:59.2,44393.51
07:59.2,44190.14
07:59.3,44139.39
07:59.3,44088.67
07:59.4,44240.93
07:59.5,44495.41
07:59.5,44495.41
07:59.5,44291.76
07:59.6,44190.14
07:59.6,44190.14
07:59.7,44088.67
07:59.8,44393.51
07:59.8,44037.99
07:59.8,44444.45
07:59.9,44190.14
07:59.9,44291.76
08:00.0,44088.67
08:00.1,44342.61
08:00.1,44240.93
08:00.1,44342.61
08:00.2,43734.64
08:00.2,44291.76
08:00.3,44088.67
08:00.4,44495.41
08:00.4,44495.41
08:00.4,44240.93
08:00.5,44190.14
08:00.5,44190.14
08:00.6,44190.14
08:00.7,44342.61
08:00.7,44190.14
08:00.7,44597.45
08:00.8,44088.67
08:00.8,44393.51
08:00.9,44597.45
08:01.0,44801.98
08:01.0,44240.93
08:01.0,44495.41
08:01.1,44240.93
08:01.1,44393.51
08:01.2,44291.76
08:01.3,43482.83
08:01.3,44240.93
08:01.3,44291.76
08:01.4,44240.93
08:01.4,44495.41
08:01.5,44190.14
08:01.6,44291.76
08:01.6,44291.76
08:01.6,44291.76
08:01.7,44190.14
08:01.7,44190.14
08:01.8,44444.45
08:01.9,44342.61
08:01.9,44190.14
08:01.9,44393.51
08:02.0,44342.61
08:02.0,44393.51
08:02.1,44291.76
08:02.2,44597.45
08:02.2,44190.14
08:02.2,44291.76
08:02.3,44240.93
08:02.3,44240.93
08:02.4,44088.67
