Timestamp,Channel_5,Channel_6,Channel_8,Channel_9,Channel_10
2026-06-19 10:01:23.286889,66870.41,99561.41,150000.0,105985.92,107551.95
2026-06-19 10:01:23.305376,68379.94,99173.15,150000.0,105985.92,107446.81
2026-06-19 10:01:23.305376,66870.41,97730.55,150305.61,105675.52,107341.78
2026-06-19 10:01:23.332689,67965.55,99756.1,149695.12,105366.09,107236.83
2026-06-19 10:01:23.332689,67553.19,98209.1,149695.12,107446.81,107973.59
2026-06-19 10:01:23.332689,67827.87,98209.1,148784.94,105778.9,107762.55
2026-06-19 10:01:23.332689,67690.41,99561.41,150765.45,105882.35,107657.2
2026-06-19 10:01:23.364022,67827.87,99367.09,150458.73,105160.31,107236.83
2026-06-19 10:01:23.364528,67896.68,98979.59,149390.97,107027.3,107868.02
2026-06-19 10:01:23.374313,67827.87,98786.41,149695.12,106089.58,107868.02
2026-06-19 10:01:23.378757,67690.41,99756.1,150000.0,105985.92,107446.81
2026-06-19 10:01:23.395918,67006.53,98497.34,150458.73,105778.9,106818.19
2026-06-19 10:01:23.408428,67279.41,99173.15,150152.73,104750.01,107341.78
2026-06-19 10:01:23.408428,67759.12,99561.41,150305.61,105985.92,107446.81
2026-06-19 10:01:23.416441,67006.53,99076.34,149390.97,107236.83,107446.81
2026-06-19 10:01:23.435493,67553.19,99173.15,151535.66,105160.31,107341.78
2026-06-19 10:01:23.435493,66734.52,98979.59,150000.0,107236.83,108079.27
2026-06-19 10:01:23.450232,66734.52,98209.1,149695.12,105572.3,107027.3
2026-06-19 10:01:23.466258,67759.12,99173.15,150152.73,104750.01,107027.3
2026-06-19 10:01:23.466258,67553.19,98979.59,150765.45,105778.9,107657.2
2026-06-19 10:01:23.483618,67759.12,98979.59,150612.0,105160.31,105985.92
2026-06-19 10:01:23.500119,67279.41,99464.2,150305.61,106401.21,107657.2
2026-06-19 10:01:23.500119,68241.57,98786.41,150458.73,105469.14,107027.3
2026-06-19 10:01:23.508329,68865.98,99756.1,149695.12,104750.01,106401.21
2026-06-19 10:01:23.524214,67279.41,99561.41,150612.0,105469.14,107446.81
2026-06-19 10:01:23.543409,67142.86,99173.15,150000.0,106193.36,107341.78
2026-06-19 10:01:23.543409,67211.11,100538.69,149847.45,106193.36,107027.3
2026-06-19 10:01:23.558219,67484.66,99561.41,149695.12,107027.3,107868.02
2026-06-19 10:01:23.558219,67896.68,100538.69,150458.73,104545.45,107236.83
2026-06-19 10:01:23.566462,67965.55,99173.15,149695.12,105778.9,106401.21
2026-06-19 10:01:23.584234,67896.68,100538.69,150305.61,105366.09,107027.3
2026-06-19 10:01:23.584234,68379.94,100538.69,150612.0,106193.36,107446.81
2026-06-19 10:01:23.602388,66870.41,98401.16,149390.97,105263.16,106401.21
2026-06-19 10:01:23.616874,66734.52,99561.41,150305.61,107657.2,107551.95
2026-06-19 10:01:23.616874,67006.53,100538.69,150919.12,106089.58,107446.81
2026-06-19 10:01:23.624827,66598.87,98882.95,149847.45,105985.92,107341.78
2026-06-19 10:01:23.642235,68034.47,99173.15,149695.12,105469.14,107341.78
2026-06-19 10:01:23.649174,67279.41,98979.59,149087.59,107341.78,107868.02
2026-06-19 10:01:23.657442,66598.87,98401.16,149087.59,105572.3,107027.3
2026-06-19 10:01:23.673614,68379.94,99561.41,150305.61,105572.3,107132.03
2026-06-19 10:01:23.673614,67142.86,98305.08,150000.0,105572.3,107868.02
2026-06-19 10:01:23.692949,66598.87,99561.41,150305.61,105160.31,106297.23
