Timestamp,Channel_1
25:07.4,144916.28
25:07.4,145209.59
25:07.5,146093.73
25:07.6,144331.73
25:07.6,145356.5
25:07.7,144916.28
25:07.7,145209.59
25:07.7,144916.28
25:07.8,145798.31
25:07.8,145650.87
25:07.9,145062.84
25:08.0,147133.38
25:08.0,147282.59
25:08.0,144916.28
25:08.1,145503.61
25:08.2,145503.61
25:08.2,145798.31
25:08.3,145503.61
25:08.3,144623.67
25:08.3,144769.87
25:08.4,146093.73
25:08.4,146984.33
25:08.5,145503.61
25:08.6,145503.61
25:08.6,147133.38
25:08.6,145798.31
25:08.7,145209.59
25:08.7,145209.59
25:08.8,145650.87
25:08.9,145503.61
25:08.9,145209.59
25:09.0,145945.94
25:09.1,145798.31
25:09.1,146241.75
25:09.1,145650.87
25:09.2,145209.59
25:09.4,145503.61
25:09.4,146093.73
25:09.4,145650.87
25:09.5,145945.94
25:09.5,146093.73
25:09.6,145209.59
25:09.7,146093.73
25:09.7,147282.59
25:09.7,146984.33
25:09.8,145650.87
25:09.8,145798.31
25:09.9,145650.87
25:09.9,146093.73
25:10.0,147581.62
25:10.0,146093.73
25:10.1,145798.31
25:10.1,145945.94
25:10.2,146241.75
25:10.3,145503.61
25:10.3,145798.31
25:10.4,145650.87
25:10.4,145798.31
25:10.4,143750.02
25:10.5,145209.59
25:10.5,145798.31
25:10.6,155299.27
25:10.6,147432.03
25:10.7,145798.31
25:10.7,146984.33
25:10.8,145209.59
25:10.8,147282.59
25:10.9,145798.31
25:10.9,147133.38
25:11.0,146984.33
25:11.0,146984.33
25:11.1,147282.59
25:11.1,149390.97
25:11.2,146093.73
25:11.2,145650.87
25:11.3,145650.87
25:11.3,147282.59
25:11.4,145503.61
25:11.4,145945.94
25:11.5,145503.61
25:11.5,144916.28
25:11.6,146241.75
25:11.6,146093.73
25:11.7,145503.61
25:11.8,146093.73
25:11.8,146093.73
25:11.8,147282.59
25:11.9,147282.59
25:11.9,145798.31
25:12.0,145798.31
25:12.0,146093.73
25:12.1,144916.28
25:12.1,145650.87
25:12.2,144769.87
25:12.2,144769.87
25:12.3,145798.31
25:12.4,145798.31
25:12.4,146093.73
25:12.4,147133.38
25:12.5,145798.31
25:12.5,147581.62
25:12.6,146984.33
25:12.7,147282.59
25:12.7,146093.73
25:12.7,146241.75
25:12.8,146093.73
25:12.8,146241.75
25:12.9,146093.73
25:12.9,147282.59
25:13.0,146241.75
25:13.0,147133.38
25:13.1,145798.31
25:13.1,147282.59
25:13.2,145945.94
25:13.2,146093.73
25:13.3,146241.75
25:13.3,145503.61
25:13.4,148181.83
25:13.4,146093.73
25:13.5,145650.87
25:13.5,147133.38
25:13.6,146093.73
25:13.6,147881.36
25:13.7,144916.28
25:13.7,149390.97
25:13.8,145945.94
25:13.8,147881.36
25:13.9,144916.28
25:13.9,146093.73
25:14.0,145798.31
25:14.0,147881.36
25:14.1,145503.61
25:14.1,147581.62
25:14.2,145798.31
25:14.2,147881.36
25:14.3,147133.38
25:14.3,147881.36
25:14.4,145209.59
25:14.4,147881.36
25:14.5,146093.73
25:14.5,148181.83
25:14.6,145798.31
25:14.6,147881.36
25:14.7,146093.73
25:14.7,147581.62
25:14.8,145062.84
25:14.8,147133.38
25:14.9,146241.75
25:14.9,147581.62
25:15.0,145503.61
25:15.0,147581.62
25:15.1,145798.31
25:15.1,145798.31
25:15.2,145209.59
25:15.2,146241.75
25:15.3,149239.22
25:15.3,150305.61
25:15.4,146093.73
25:15.4,146093.73
25:15.5,145798.31
25:15.5,146984.33
25:15.6,145650.87
25:15.6,147282.59
25:15.7,145798.31
25:15.7,147581.62
25:15.8,145945.94
25:15.8,146984.33
25:15.9,146241.75
25:15.9,147282.59
25:16.0,147432.03
25:16.0,147282.59
25:16.1,146093.73
25:16.1,147881.36
25:16.2,145798.31
25:16.2,146984.33
25:16.3,146984.33
25:16.3,147432.03
25:16.4,146093.73
25:16.4,145356.5
25:16.5,145650.87
25:16.5,147282.59
25:16.6,147133.38
25:16.7,147133.38
25:16.7,147133.38
25:16.7,147133.38
25:16.8,146984.33
25:16.9,147731.39
25:16.9,145209.59
25:16.9,147432.03
25:17.0,146093.73
25:17.0,147881.36
25:17.1,145798.31
25:17.1,145798.31
25:17.3,146241.75
25:17.3,147581.62
25:17.3,147282.59
25:17.3,147581.62
25:17.4,147133.38
25:17.5,147282.59
25:17.5,145503.61
25:17.5,147881.36
25:17.6,146093.73
25:17.6,147282.59
25:17.7,145945.94
25:17.7,147881.36
25:17.8,147282.59
