Timestamp,Channel_1,Channel_2,Channel_18,Channel_19,Channel_20,Channel_21
2026-06-10 16:32:12.889916,193338.11,-1.0,0.0,0.0,0.0,31.64
2026-06-10 16:32:13.009314,194181.03,-1.0,0.0,0.0,0.0,31.62
2026-06-10 16:32:13.129662,193969.86,-1.0,0.0,0.0,0.0,31.57
2026-06-10 16:32:13.201837,195028.81,-1.0,0.0,0.0,0.0,31.61
2026-06-10 16:32:13.293820,192709.09,-1.0,0.0,0.0,0.0,31.62
2026-06-10 16:32:13.399040,195881.5,-1.0,0.0,0.0,0.0,31.61
2026-06-10 16:32:13.490044,194604.31,-1.0,0.0,0.0,0.0,31.57
2026-06-10 16:32:13.610095,194816.41,-1.0,0.0,0.0,0.0,31.61
2026-06-10 16:32:13.713699,193758.97,-1.0,0.0,0.0,0.0,31.62
2026-06-10 16:32:13.835192,194181.03,-1.0,0.0,0.0,0.0,31.61
2026-06-10 16:32:13.894151,195881.5,-1.0,0.0,0.0,0.0,31.57
2026-06-10 16:32:14.000307,196095.42,-1.0,0.0,0.0,0.0,31.55
2026-06-10 16:32:14.111804,194181.03,-1.0,0.0,0.0,0.0,31.5
2026-06-10 16:32:14.236231,193758.97,-1.0,0.0,0.0,0.0,31.59
2026-06-10 16:32:14.352672,195454.53,-1.0,0.0,0.0,0.0,31.55
2026-06-10 16:32:14.473428,197385.59,-1.0,0.0,0.0,0.0,31.55
2026-06-10 16:32:14.660203,195241.52,-1.0,0.0,0.0,0.0,31.57
2026-06-10 16:32:14.667080,194392.53,-1.0,0.0,0.0,0.0,31.51
2026-06-10 16:32:14.774441,195241.52,-1.0,0.0,0.0,0.0,31.64
2026-06-10 16:32:14.832153,193758.97,-1.0,0.0,0.0,0.0,31.62
2026-06-10 16:32:14.907564,194181.03,-1.0,0.0,0.0,0.0,31.58
2026-06-10 16:32:15.021150,196524.31,-1.0,0.0,0.0,0.0,31.54
2026-06-10 16:32:15.145504,195241.52,-1.0,0.0,0.0,0.0,31.61
2026-06-10 16:32:15.192541,195881.5,-1.0,0.0,0.0,0.0,31.55
2026-06-10 16:32:15.311673,194181.03,-1.0,0.0,0.0,0.0,31.7
2026-06-10 16:32:15.431793,194181.03,-1.0,0.0,0.0,0.0,31.59
2026-06-10 16:32:15.493616,195028.81,-1.0,0.0,0.0,0.0,31.66
