Timestamp,Channel_1
0.00,163174.81
0.05,163853.05
0.10,163513.52
0.15,163853.05
0.20,164023.2
0.25,165909.08
0.30,163853.05
0.35,162668.39
0.40,163853.05
0.45,164877.09
0.50,162500.02
0.55,165220.19
0.60,163513.52
0.65,162668.39
0.70,162836.98
0.75,163344.05
0.80,163005.73
0.85,165909.08
0.90,164877.09
0.95,164534.89
1.00,165220.19
1.05,163513.52
1.10,163174.81
1.15,159505.69
1.20,162836.98
1.25,162836.98
1.30,162836.98
1.35,162500.02
1.40,165220.19
1.45,163513.52
1.50,162668.39
1.55,161828.66
1.60,163174.81
1.65,166254.86
1.70,163513.52
1.75,162836.98
1.80,162163.86
1.85,164023.2
1.90,163683.19
1.95,163513.52
2.00,161160.69
2.05,163513.52
2.10,162836.98
2.15,163853.05
2.20,164877.09
2.25,164877.09
2.30,163174.81
2.35,165392.08
2.40,163853.05
2.45,163513.52
2.50,164877.09
2.55,165220.19
2.60,163344.05
2.65,163174.81
2.70,164023.2
2.75,164534.89
2.80,163174.81
2.85,164705.88
2.90,165220.19
2.95,163344.05
3.00,163513.52
3.05,164534.89
3.10,163174.81
3.15,166081.86
3.20,165220.19
3.25,163174.81
3.30,163853.05
3.35,164534.89
3.40,165048.53
3.45,164534.89
3.50,162836.98
3.55,162836.98
3.60,165220.19
3.65,163853.05
3.70,162163.86
3.75,165392.08
3.80,160994.23
3.85,164877.09
3.90,163513.52
3.95,164705.88
4.00,163853.05
4.05,162163.86
4.10,165220.19
4.15,163853.05
4.20,164534.89
4.25,163853.05
4.30,161996.12
4.35,165220.19
4.40,163853.05
4.45,163174.81
4.50,163513.52
4.55,163853.05
4.60,165564.19
4.65,165392.08
4.70,164877.09
4.75,163513.52
4.80,163853.05
4.85,168172.86
4.90,162500.02
4.95,162836.98
5.00,164877.09
5.05,163174.81
5.10,163174.81
5.15,164023.2
5.20,163513.52
5.25,165564.19
5.30,163174.81
5.35,164877.09
5.40,162500.02
5.45,162163.86
5.50,163853.05
5.55,166428.09
5.60,163853.05
5.65,164705.88
5.70,162500.02
5.75,163513.52
5.80,163005.73
5.85,164877.09
5.90,162836.98
5.95,163513.52
6.00,162836.98
6.05,163683.19
6.10,163513.52
6.15,157547.17
6.20,163174.81
6.25,165392.08
6.30,163174.81
6.35,162500.02
6.40,165736.56
6.45,164534.89
6.50,163853.05
6.55,163344.05
6.60,163853.05
6.65,165220.19
6.70,162331.84
6.75,165220.19
6.80,164534.89
6.85,164705.88
6.90,164877.09
6.95,164705.88
7.00,163853.05
7.05,164877.09
7.10,162500.02
7.15,164705.88
7.20,165909.08
7.25,165220.19
7.30,163174.81
7.35,163513.52
7.40,164023.2
7.45,163853.05
7.50,163853.05
7.55,164534.89
7.60,163174.81
7.65,164023.2
7.70,163344.05
7.75,165220.19
7.80,164705.88
7.85,164705.88
7.90,164534.89
7.95,164877.09
8.00,164534.89
8.05,166254.86
8.10,164534.89
8.15,165909.08
8.20,163853.05
8.25,163683.19
8.30,163005.73
8.35,165220.19
8.40,163853.05
8.45,164534.89
8.50,163005.73
8.55,165220.19
8.60,163513.52
8.65,163513.52
8.70,161996.12
8.75,163174.81
8.80,162836.98
8.85,165564.19
8.90,162500.02
8.95,164705.88
9.00,163853.05
9.05,165909.08
9.10,162836.98
9.15,165220.19
9.20,162500.02
9.25,163853.05
9.30,163853.05
9.35,165220.19
9.40,164877.09
9.45,164023.2
9.50,163344.05
9.55,164534.89
9.60,164364.11
9.65,163683.19
9.70,163683.19
9.75,164877.09
9.80,163174.81
9.85,164705.88
9.90,162163.86
9.95,164534.89
10.00,163853.05
10.05,165392.08
10.10,163344.05
10.15,165048.53
10.20,164705.88
10.25,165564.19
10.30,163683.19
10.35,164705.88
10.40,163005.73
10.45,163853.05
10.50,161828.66
10.55,165564.19
10.60,164023.2
10.65,165220.19
10.70,162836.98
10.75,164877.09
10.80,163005.73
10.85,164877.09
10.90,164877.09
10.95,163683.19
11.00,163005.73
11.05,163513.52
11.10,163513.52
11.15,164705.88
11.20,163853.05
11.25,165392.08
11.30,163513.52
11.35,165220.19
11.40,164877.09
11.45,164877.09
11.50,162836.98
11.55,163683.19
11.60,163513.52
11.65,164877.09
11.70,163174.81
11.75,165392.08
11.80,165392.08
11.85,163174.81
11.90,165909.08
11.95,165220.19
12.00,163344.05
12.05,164705.88
12.10,163683.19
12.15,163853.05
12.20,164534.89
12.25,165909.08
12.30,164023.2
12.35,165736.56
12.40,162836.98
12.45,164534.89
12.50,163513.52
12.55,163853.05
12.60,163853.05
12.65,164705.88
12.70,163513.52
12.75,165392.08
12.80,163174.81
12.85,165909.08
12.90,163853.05
12.95,165564.19
13.00,164534.89
13.05,163174.81
13.10,165048.53
13.15,165220.19
13.20,163513.52
13.25,165564.19
13.30,163174.81
13.35,165909.08
13.40,162836.98
13.45,165909.08
13.50,162500.02
13.55,163513.52
13.60,162836.98
13.65,165220.19
13.70,162836.98
13.75,165392.08
13.80,162836.98
13.85,166081.86
13.90,163513.52
13.95,165564.19
14.00,163344.05
14.05,164705.88
14.10,162500.02
14.15,161828.66
14.20,160165.17
14.25,164534.89
14.30,163174.81
14.35,165909.08
14.40,163174.81
14.45,165220.19
14.50,163005.73
14.55,165392.08
14.60,162836.98
14.65,164877.09
14.70,162163.86
14.75,162500.02
14.80,162836.98
14.85,164705.88
14.90,162500.02
14.95,163174.81
15.00,163683.19
15.05,163513.52
15.10,162500.02
15.15,164705.88
15.20,163344.05
15.25,163853.05
15.30,161160.69
15.35,163344.05
15.40,163853.05
15.45,163853.05
15.50,162836.98
15.55,163853.05
15.60,163513.52
15.65,163513.52
15.70,161828.66
15.75,164877.09
15.80,163513.52
15.85,163853.05
15.90,163174.81
15.95,163513.52
16.00,163344.05
16.05,164534.89
16.10,162500.02
16.15,162836.98
16.20,162500.02
16.25,166254.86
16.30,161160.69
16.35,162500.02
16.40,162668.39
16.45,162836.98
16.50,163005.73
16.55,164877.09
16.60,163344.05
16.65,162500.02
16.70,162668.39
16.75,165392.08
16.80,163174.81
16.85,164877.09
16.90,163513.52
16.95,164534.89
17.00,162500.02
17.05,163853.05
17.10,163344.05
17.15,165392.08
17.20,163344.05
17.25,164023.2
17.30,163853.05
17.35,165736.56
17.40,163174.81
17.45,163683.19
17.50,162668.39
17.55,163853.05
17.60,162163.86
17.65,162836.98
17.70,163174.81
17.75,162668.39
17.80,162836.98
17.85,164534.89
17.90,163513.52
17.95,165909.08
18.00,162836.98
18.05,165564.19
18.10,163513.52
18.15,165909.08
18.20,162500.02
18.25,165564.19
18.30,163853.05
18.35,165392.08
18.40,162500.02
18.45,165048.53
18.50,162163.86
18.55,165220.19
18.60,163513.52
18.65,165048.53
18.70,162500.02
18.75,165220.19
18.80,162500.02
18.85,164023.2
18.90,162500.02
18.95,165564.19
19.00,162836.98
19.05,165220.19
19.10,162836.98
19.15,167997.36
19.20,163853.05
19.25,161160.69
19.30,163174.81
19.35,163513.52
