time_s,Thumb,Index,Middle,Ring,Pinky
1.5550,-1.00000,0.14363,1.00000,0.93821,0.80516
1.5720,-1.00000,0.15533,1.00000,1.00000,0.81382
1.5880,-1.00000,0.15533,1.00000,1.00000,0.81382
1.6050,-1.00000,0.15533,1.00000,1.00000,0.81382
1.6220,-1.00000,0.21088,1.00000,1.00000,0.84256
1.6390,-1.00000,0.21088,1.00000,1.00000,0.84256
1.6560,-1.00000,0.21088,1.00000,1.00000,0.84256
1.6730,-1.00000,0.21088,1.00000,1.00000,0.84256
1.6900,-1.00000,0.21088,1.00000,1.00000,0.84256
1.7070,-1.00000,0.21088,1.00000,1.00000,0.84256
1.7230,-1.00000,0.21088,1.00000,1.00000,0.84256
1.7400,-1.00000,0.22569,1.00000,1.00000,0.83911
1.7570,-1.00000,0.22569,1.00000,1.00000,0.83911
1.7750,-1.00000,0.22569,1.00000,1.00000,0.83911
1.7910,-1.00000,0.23849,1.00000,1.00000,0.83969
1.8080,-1.00000,0.27498,1.00000,1.00000,0.82953
1.8250,-1.00000,0.27498,1.00000,1.00000,0.82953
1.8420,-1.00000,0.27498,1.00000,1.00000,0.82953
1.8600,-1.00000,0.29559,1.00000,1.00000,0.83469
1.8770,-1.00000,0.31013,1.00000,1.00000,0.84271
1.8940,-1.00000,0.31013,1.00000,1.00000,0.84271
1.9120,-1.00000,0.33063,1.00000,1.00000,0.85073
1.9290,-1.00000,0.32942,1.00000,1.00000,0.85073
1.9460,-1.00000,0.32942,1.00000,1.00000,0.85073
1.9630,-1.00000,0.32942,1.00000,1.00000,0.85073
1.9810,-1.00000,0.33243,1.00000,1.00000,0.84845
1.9970,-1.00000,0.33243,1.00000,1.00000,0.84845
2.0140,-1.00000,0.33243,1.00000,1.00000,0.84845
2.0310,-1.00000,0.33243,1.00000,1.00000,0.84845
2.0480,-1.00000,0.33243,1.00000,1.00000,0.84845
2.0650,-1.00000,0.33243,1.00000,1.00000,0.84845
2.0810,-1.00000,0.33243,1.00000,1.00000,0.84845
2.0980,-1.00000,0.34621,1.00000,1.00000,0.85418
2.1150,-1.00000,0.36551,0.99339,1.00000,0.85532
2.1320,-1.00000,0.38350,1.00000,1.00000,0.86048
2.1490,-1.00000,0.38350,1.00000,1.00000,0.86048
2.1660,-1.00000,0.38409,1.00000,1.00000,0.85246
2.1830,-1.00000,0.38409,1.00000,1.00000,0.85246
2.2000,-1.00000,0.38409,1.00000,1.00000,0.85246
2.2170,-1.00000,0.39254,1.00000,1.00000,0.85018
2.2330,-1.00000,0.39254,1.00000,1.00000,0.85018
2.2510,-1.00000,0.39254,1.00000,1.00000,0.85018
2.2670,-1.00000,0.39254,1.00000,1.00000,0.85018
2.2840,-1.00000,0.39973,1.00000,1.00000,0.85764
2.3010,-1.00000,0.39973,1.00000,1.00000,0.85764
2.3170,-1.00000,0.39973,1.00000,1.00000,0.85764
2.3330,-1.00000,0.40212,1.00000,1.00000,0.85186
2.3490,-1.00000,0.39973,1.00000,1.00000,0.86103
2.3650,-1.00000,0.39973,1.00000,1.00000,0.86103
2.3810,-1.00000,0.39973,1.00000,1.00000,0.86103
