#,Thumb,Index,Middle,Ring,Pinky
calib_closed,162629.41,581917.24,207413.67,153725.92,236780.29
calib_half,159984.75,501775.03,190124.66,140174.32,218183.38
calib_open,157489.00,438260.68,164984.84,134856.07,196474.72
calib_span,5140.41,143656.57,42428.83,18869.85,40305.57

time_s,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
0.0160,-1.00000,-1.00000,-0.95732,-0.96466,-0.97265,-0.22810,-0.00510,-0.98280
0.0330,-1.00000,-1.00000,-0.95732,-0.96466,-0.97265,-0.22810,-0.00510,-0.98280
0.0490,-1.00000,-1.00000,-0.95732,-0.96466,-0.97265,-0.22810,-0.00510,-0.98280
0.0660,-1.00000,-1.00000,-0.93839,-0.96351,-0.97316,-0.18930,-0.04000,-0.95940
0.0830,-1.00000,-1.00000,-0.93839,-0.96351,-0.97316,-0.18930,-0.04000,-0.95940
0.1000,-1.00000,-1.00000,-0.93839,-0.96351,-0.97316,-0.18930,-0.04000,-0.95940
0.1160,-1.00000,-1.00000,-0.92381,-0.96197,-0.97316,-0.18790,-0.02390,-0.96600
0.1320,-1.00000,-1.00000,-0.90968,-0.95966,-0.97218,-0.21570,-0.02900,-0.96580
0.1490,-1.00000,-1.00000,-0.90968,-0.95966,-0.97218,-0.21570,-0.02900,-0.96580
0.1660,-1.00000,-1.00000,-0.90968,-0.95966,-0.97218,-0.21570,-0.02900,-0.96580
0.1840,-1.00000,-1.00000,-0.89299,-0.95850,-0.96872,-0.18370,-0.03120,-0.95110
0.2010,-1.00000,-1.00000,-0.89299,-0.95850,-0.96872,-0.18370,-0.03120,-0.95110
0.2180,-1.00000,-1.00000,-0.89299,-0.95850,-0.96872,-0.18370,-0.03120,-0.95110
0.2340,-1.00000,-1.00000,-0.89299,-0.95850,-0.96872,-0.18370,-0.03120,-0.95110
0.2500,-1.00000,-1.00000,-0.88070,-0.95349,-0.96576,-0.16370,-0.00220,-0.96820
0.2660,-1.00000,-1.00000,-0.88070,-0.95349,-0.96576,-0.16370,-0.00220,-0.96820
0.2820,-1.00000,-1.00000,-0.88070,-0.95349,-0.96576,-0.16370,-0.00220,-0.96820
0.3000,-1.00000,-1.00000,-0.86881,-0.95234,-0.95835,-0.19520,-0.03070,-0.96840
0.3180,-0.99995,-1.00000,-0.86397,-0.94965,-0.95440,-0.18250,0.00710,-0.95700
0.3350,-0.99995,-1.00000,-0.86397,-0.94965,-0.95440,-0.18250,0.00710,-0.95700
0.3520,-0.99995,-1.00000,-0.86397,-0.94965,-0.95440,-0.18250,0.00710,-0.95700
0.3680,-0.98297,-1.00000,-0.86092,-0.94388,-0.94795,-0.18790,-0.03200,-0.96310
0.3850,-0.98297,-1.00000,-0.86092,-0.94388,-0.94795,-0.18790,-0.03200,-0.96310
0.4020,-0.98297,-1.00000,-0.86092,-0.94388,-0.94795,-0.18790,-0.03200,-0.96310
0.4180,-0.97872,-1.00000,-0.86092,-0.94157,-0.94647,-0.18420,-0.03320,-0.96750
0.4350,-0.97235,-1.00000,-0.85741,-0.94004,-0.94351,-0.18010,-0.01610,-0.96430
0.4510,-0.97235,-1.00000,-0.85741,-0.94004,-0.94351,-0.18010,-0.01610,-0.96430
0.4680,-0.97235,-1.00000,-0.85741,-0.94004,-0.94351,-0.18010,-0.01610,-0.96430
0.4850,-0.95962,-1.00000,-0.85479,-0.93581,-0.93956,-0.18250,-0.02710,-0.96870
0.5020,-0.95962,-1.00000,-0.85479,-0.93581,-0.93956,-0.18250,-0.02710,-0.96870
0.5190,-0.95962,-1.00000,-0.85479,-0.93581,-0.93956,-0.18250,-0.02710,-0.96870
0.5360,-0.94688,-1.00000,-0.85389,-0.93696,-0.93562,-0.17840,-0.02760,-0.97360
0.5530,-0.92354,-1.00000,-0.85083,-0.93581,-0.93316,-0.17690,-0.02220,-0.96530
0.5700,-0.92354,-1.00000,-0.85083,-0.93581,-0.93316,-0.17690,-0.02220,-0.96530
0.5870,-0.92354,-1.00000,-0.85083,-0.93581,-0.93316,-0.17690,-0.02220,-0.96530
0.6040,-0.91931,-1.00000,-0.84560,-0.93158,-0.93414,-0.16740,-0.02850,-0.96160
0.6200,-0.91931,-1.00000,-0.84560,-0.93158,-0.93414,-0.16740,-0.02850,-0.96160
0.6360,-0.91931,-1.00000,-0.84560,-0.93158,-0.93414,-0.16740,-0.02850,-0.96160
0.6530,-0.91931,-1.00000,-0.84560,-0.93158,-0.93414,-0.16740,-0.02850,-0.96160
0.6700,-0.88330,-1.00000,-0.83241,-0.94493,-0.92970,-0.16980,-0.02030,-0.96480
0.6860,-0.88330,-1.00000,-0.83241,-0.94493,-0.92970,-0.16980,-0.02030,-0.96480
0.7030,-0.88330,-1.00000,-0.83241,-0.94493,-0.92970,-0.16980,-0.02030,-0.96480
0.7190,-0.86213,-1.00000,-0.82763,-0.94262,-0.92724,-0.18230,-0.03270,-0.95040
0.7350,-0.85367,-1.00000,-0.82632,-0.94109,-0.92675,-0.16450,-0.01830,-0.94480
0.7520,-0.85367,-1.00000,-0.82632,-0.94109,-0.92675,-0.16450,-0.01830,-0.94480
0.7690,-0.85367,-1.00000,-0.82632,-0.94109,-0.92675,-0.16450,-0.01830,-0.94480
0.7850,-0.83251,-1.00000,-0.82022,-0.93956,-0.92428,-0.17930,-0.03560,-0.95210
0.8010,-0.83675,-1.00000,-0.81978,-0.93802,-0.92576,-0.18350,-0.03640,-0.95110
0.8190,-0.83675,-1.00000,-0.81978,-0.93802,-0.92576,-0.18350,-0.03640,-0.95110
0.8370,-0.81140,-1.00000,-0.81325,-0.93534,-0.92428,-0.15640,-0.01220,-0.96920
0.8530,-0.80506,-1.00000,-0.81195,-0.93342,-0.92280,-0.16710,-0.01050,-0.97160
0.8700,-0.80506,-1.00000,-0.81195,-0.93342,-0.92280,-0.16710,-0.01050,-0.97160
0.8870,-0.80506,-1.00000,-0.81195,-0.93342,-0.92280,-0.16710,-0.01050,-0.97160
0.9040,-0.76493,-1.00000,-0.80804,-0.92652,-0.91198,-0.17570,-0.02150,-0.96090
0.9210,-0.73129,-1.00000,-0.80365,-0.92194,-0.91051,-0.13690,-0.03950,-0.95110
0.9380,-0.73129,-1.00000,-0.80365,-0.92194,-0.91051,-0.13690,-0.03950,-0.95110
0.9540,-0.73129,-1.00000,-0.80365,-0.92194,-0.91051,-0.13690,-0.03950,-0.95110
0.9710,-0.56995,-1.00000,-0.78850,-0.90253,-0.88953,-0.15860,0.00000,-0.98010
0.9880,-0.56995,-1.00000,-0.78850,-0.90253,-0.88953,-0.15860,0.00000,-0.98010
1.0040,-0.56995,-1.00000,-0.78850,-0.90253,-0.88953,-0.15860,0.00000,-0.98010
1.0200,-0.41188,-1.00000,-0.77686,-0.86718,-0.86232,-0.23060,0.00760,-1.00190
1.0370,-0.07453,-1.00000,-0.73817,-0.80627,-0.80288,-0.23620,-0.13930,-0.91620
1.0530,-0.07453,-1.00000,-0.73817,-0.80627,-0.80288,-0.23620,-0.13930,-0.91620
1.0690,-0.07453,-1.00000,-0.73817,-0.80627,-0.80288,-0.23620,-0.13930,-0.91620
1.0850,-0.07453,-1.00000,-0.73817,-0.80627,-0.80288,-0.23620,-0.13930,-0.91620
1.1010,-0.07453,-1.00000,-0.73817,-0.80627,-0.80288,-0.23620,-0.13930,-0.91620
1.1180,-0.07453,-1.00000,-0.73817,-0.80627,-0.80288,-0.23620,-0.13930,-0.91620
1.1350,-0.07453,-1.00000,-0.73817,-0.80627,-0.80288,-0.23620,-0.13930,-0.91620
1.1520,0.14049,-0.98395,-0.71351,-0.76439,-0.76429,-0.19930,-0.14400,-0.94430
1.1690,0.14049,-0.98395,-0.71351,-0.76439,-0.76429,-0.19930,-0.14400,-0.94430
1.1850,0.14049,-0.98395,-0.71351,-0.76439,-0.76429,-0.19930,-0.14400,-0.94430
1.2010,0.14049,-0.98395,-0.71351,-0.76439,-0.76429,-0.19930,-0.14400,-0.94430
1.2180,0.14049,-0.98395,-0.71351,-0.76439,-0.76429,-0.19930,-0.14400,-0.94430
1.2340,0.14049,-0.98395,-0.71351,-0.76439,-0.76429,-0.19930,-0.14400,-0.94430
1.2500,0.14049,-0.98395,-0.71351,-0.76439,-0.76429,-0.19930,-0.14400,-0.94430
1.2670,1.00000,-0.72113,-0.56705,-0.52930,-0.54662,-0.15400,-0.03510,-0.95260
1.2830,1.00000,-0.29457,-0.31389,-0.17545,-0.23798,-0.17280,-0.06420,-0.95700
1.2990,1.00000,-0.07971,-0.18333,0.00686,-0.08952,-0.13180,0.03390,-0.96430
1.3150,1.00000,-0.07971,-0.18333,0.00686,-0.08952,-0.13180,0.03390,-0.96430
1.3310,1.00000,-0.07971,-0.18333,0.00686,-0.08952,-0.13180,0.03390,-0.96430
1.3480,1.00000,-0.07971,-0.18333,0.00686,-0.08952,-0.13180,0.03390,-0.96430
1.3650,1.00000,-0.07971,-0.18333,0.00686,-0.08952,-0.13180,0.03390,-0.96430
1.3830,1.00000,0.29161,0.01491,0.64794,0.09813,-0.20450,0.05540,-0.98330
1.4000,1.00000,0.49660,0.11208,0.98367,0.19929,-0.17910,0.00440,-0.96260
