#,Thumb,Index,Middle,Ring,Pinky
calib_closed,170159.75,548705.87,190885.92,146156.36,227197.74
calib_half,173645.66,491602.56,181941.60,133839.56,192239.93
calib_open,168589.66,412675.80,158467.16,134426.30,187474.62
calib_span,1570.09,136030.07,32418.76,11730.06,39723.11

time_s,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
0.0170,0.70634,-1.00000,-0.98174,-1.00000,-1.00000,0.04860,0.02100,-0.98160
0.0340,0.73677,-1.00000,-1.00000,-1.00000,-1.00000,0.04830,0.01340,-0.98380
0.0510,0.73677,-1.00000,-1.00000,-1.00000,-1.00000,0.04830,0.01340,-0.98380
0.0680,0.73677,-1.00000,-1.00000,-1.00000,-1.00000,0.04830,0.01340,-0.98380
0.0850,0.73677,-1.00000,-1.00000,-1.00000,-1.00000,0.04830,0.01340,-0.98380
0.1020,0.75677,-0.99995,-1.00000,-1.00000,-1.00000,0.06030,-0.00710,-0.97650
0.1180,0.75677,-0.99995,-1.00000,-1.00000,-1.00000,0.06030,-0.00710,-0.97650
0.1350,0.75677,-0.99995,-1.00000,-1.00000,-1.00000,0.06030,-0.00710,-0.97650
0.1520,0.77199,-1.00000,-1.00000,-1.00000,-1.00000,0.04710,-0.00100,-0.99260
0.1690,0.81053,-1.00000,-1.00000,-1.00000,-1.00000,0.09660,0.01020,-0.95820
0.1850,0.81053,-1.00000,-1.00000,-1.00000,-1.00000,0.09660,0.01020,-0.95820
0.2020,0.81053,-1.00000,-1.00000,-1.00000,-1.00000,0.09660,0.01020,-0.95820
0.2190,0.84669,-0.97434,-1.00000,-1.00000,-1.00000,0.10780,-0.00540,-0.96060
0.2360,0.84669,-0.97434,-1.00000,-1.00000,-1.00000,0.10780,-0.00540,-0.96060
0.2530,0.84669,-0.97434,-1.00000,-1.00000,-1.00000,0.10780,-0.00540,-0.96060
0.2690,0.84669,-0.97434,-1.00000,-1.00000,-1.00000,0.10780,-0.00540,-0.96060
0.2860,0.88624,-0.97899,-0.96399,-1.00000,-1.00000,0.08710,-0.02150,-0.96720
0.3020,0.88624,-0.97899,-0.96399,-1.00000,-1.00000,0.08710,-0.02150,-0.96720
