#,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
0.9440,0.15541,0.97812,0.00000,0.93250,1.00000,0.21890,0.24860,-0.91230
0.9610,0.12304,0.98365,0.00000,0.95875,1.00000,0.21910,0.25960,-0.92260
0.9780,0.12304,0.98365,0.00000,0.95875,1.00000,0.21910,0.25960,-0.92260
0.9950,0.12304,0.98365,0.00000,0.95875,1.00000,0.21910,0.25960,-0.92260
1.0110,0.16383,0.98425,-0.63450,0.95172,1.00000,0.21910,0.24520,-0.91520
1.0270,0.17551,0.98487,-0.88796,0.95172,1.00000,0.22010,0.24200,-0.92110
1.0440,0.17551,0.98487,-0.88796,0.95172,1.00000,0.22010,0.24200,-0.92110
1.0600,0.17551,0.98487,-0.88796,0.95172,1.00000,0.22010,0.24200,-0.92110
1.0760,0.16622,0.98455,-1.00000,0.97996,1.00000,0.21980,0.24280,-0.91430
1.0930,0.16622,0.98455,-1.00000,0.97996,1.00000,0.21980,0.24280,-0.91430
1.1100,0.16622,0.98455,-1.00000,0.97996,1.00000,0.21980,0.24280,-0.91430
1.1270,0.16622,0.98455,-1.00000,0.97996,1.00000,0.21980,0.24280,-0.91430
1.1430,0.18085,0.98056,-1.00000,0.99853,1.00000,0.22280,0.24420,-0.91890
1.1600,0.18085,0.98056,-1.00000,0.99853,1.00000,0.22280,0.24420,-0.91890
1.1760,0.18085,0.98056,-1.00000,0.99853,1.00000,0.22280,0.24420,-0.91890
1.1930,0.20141,0.97503,-1.00000,0.99789,1.00000,0.21810,0.24810,-0.91790
1.2090,0.20141,0.97503,-1.00000,0.99789,1.00000,0.21810,0.24810,-0.91790
1.2260,0.20141,0.97503,-1.00000,0.99789,1.00000,0.21810,0.24810,-0.91790
1.2430,0.20141,0.97503,-1.00000,0.99789,1.00000,0.21810,0.24810,-0.91790
1.2590,0.20427,0.96795,-0.96305,0.99534,1.00000,0.22030,0.25130,-0.91620
1.2750,0.14593,0.96917,-0.90949,0.99791,1.00000,0.22180,0.24450,-0.91790
1.2920,0.14593,0.96917,-0.90949,0.99791,1.00000,0.22180,0.24450,-0.91790
1.3090,0.15173,0.96765,-0.83124,0.99344,1.00000,0.21860,0.25010,-0.92110
1.3260,0.10525,0.96919,-0.76075,0.98957,1.00000,0.21840,0.24450,-0.91700
1.3430,0.10525,0.96919,-0.76075,0.98957,1.00000,0.21840,0.24450,-0.91700
1.3590,0.10525,0.96919,-0.76075,0.98957,1.00000,0.21840,0.24450,-0.91700
1.3750,0.03232,0.97134,-0.39288,0.99785,1.00000,0.21810,0.25960,-0.91890
1.3920,0.03232,0.96889,-0.34819,0.99848,1.00000,0.21790,0.25720,-0.91890
1.4080,0.03232,0.96889,-0.34819,0.99848,1.00000,0.21790,0.25720,-0.91890
1.4250,0.03232,0.96889,-0.34819,0.99848,1.00000,0.21790,0.25720,-0.91890
1.4430,0.01184,0.96767,-0.12097,0.97929,1.00000,0.22470,0.31210,-0.91230
1.4600,0.01184,0.96767,-0.12097,0.97929,1.00000,0.22470,0.31210,-0.91230
1.4770,0.01184,0.96767,-0.12097,0.97929,1.00000,0.22470,0.31210,-0.91230
1.4930,-1.00000,0.97105,0.00000,0.96073,1.00000,0.22110,0.24720,-0.91570
1.5100,-1.00000,0.97044,0.00000,0.95687,1.00000,0.21760,0.25030,-0.91280
1.5270,-1.00000,0.97044,0.00000,0.95687,1.00000,0.21760,0.25030,-0.91280
1.5430,-1.00000,0.97044,0.00000,0.95687,1.00000,0.21760,0.25030,-0.91280
1.5600,-1.00000,0.97506,0.00000,0.95942,1.00000,0.21590,0.23670,-0.92130
1.5770,-1.00000,0.97506,0.00000,0.95942,1.00000,0.21590,0.23670,-0.92130
1.5940,-1.00000,0.97506,0.00000,0.95942,1.00000,0.21590,0.23670,-0.92130
1.6100,-1.00000,0.97261,0.00000,0.95748,1.00000,0.21890,0.25470,-0.91260
1.6270,-1.00000,0.97322,0.00000,0.95684,1.00000,0.22250,0.24740,-0.91820
1.6440,-1.00000,0.97322,0.00000,0.95684,1.00000,0.22250,0.24740,-0.91820
1.6600,-1.00000,0.97322,0.00000,0.95684,1.00000,0.22250,0.24740,-0.91820
1.6770,0.01196,0.97169,0.00000,0.94721,1.00000,0.21590,0.25330,-0.91840
1.6930,0.01196,0.97169,0.00000,0.94721,1.00000,0.21590,0.25330,-0.91840
1.7100,0.01196,0.97169,0.00000,0.94721,1.00000,0.21590,0.25330,-0.91840
1.7260,0.01196,0.97169,0.00000,0.94721,1.00000,0.21590,0.25330,-0.91840
1.7430,0.00312,0.97353,0.00000,0.93761,1.00000,0.21520,0.25230,-0.91940
1.7590,0.00312,0.97353,0.00000,0.93761,1.00000,0.21520,0.25230,-0.91940
1.7750,0.00312,0.97353,0.00000,0.93761,1.00000,0.21520,0.25230,-0.91940
1.7920,-1.00000,0.97414,0.00000,0.93954,1.00000,0.21840,0.23060,-0.91770
1.8080,-1.00000,0.97506,0.00000,0.92412,1.00000,0.22370,0.22910,-0.91870
1.8240,-1.00000,0.97506,0.00000,0.92412,1.00000,0.22370,0.22910,-0.91870
1.8410,-1.00000,0.97506,0.00000,0.92412,1.00000,0.22370,0.22910,-0.91870
1.8570,-1.00000,0.97475,0.00000,0.92347,1.00000,0.22330,0.22910,-0.91620
1.8730,-1.00000,0.97475,0.00000,0.92347,1.00000,0.22330,0.22910,-0.91620
1.8900,-1.00000,0.97475,0.00000,0.92347,1.00000,0.22330,0.22910,-0.91620
1.9070,-1.00000,0.97260,0.00000,0.91579,1.00000,0.22300,0.26180,-0.91500
1.9240,-1.00000,0.96860,0.00000,0.89908,1.00000,0.22200,0.25330,-0.92210
1.9400,-1.00000,0.96860,0.00000,0.89908,1.00000,0.22200,0.25330,-0.92210
1.9570,-1.00000,0.96860,0.00000,0.89908,1.00000,0.22200,0.25330,-0.92210
1.9730,-1.00000,0.95908,0.00000,0.88948,1.00000,0.22590,0.24160,-0.91550
1.9890,-1.00000,0.95908,0.00000,0.88948,1.00000,0.22590,0.24160,-0.91550
2.0060,-1.00000,0.95908,0.00000,0.88948,1.00000,0.22590,0.24160,-0.91550
2.0220,-1.00000,0.95908,0.00000,0.88948,1.00000,0.22590,0.24160,-0.91550
2.0380,-1.00000,0.95907,0.00000,0.89270,1.00000,0.22810,0.23770,-0.91300
2.0540,-1.00000,0.95907,0.00000,0.89270,1.00000,0.22810,0.23770,-0.91300
2.0700,-1.00000,0.95907,0.00000,0.89270,1.00000,0.22810,0.23770,-0.91300
2.0870,-1.00000,0.95508,0.00000,0.89850,1.00000,0.22280,0.24450,-0.91960
2.1040,-1.00000,0.95877,0.00000,0.89147,1.00000,0.22060,0.24400,-0.91840
2.1210,-1.00000,0.95877,0.00000,0.89147,1.00000,0.22060,0.24400,-0.91840
2.1370,-1.00000,0.95877,0.00000,0.89147,1.00000,0.22060,0.24400,-0.91840
2.1530,-1.00000,0.95631,0.00000,0.89275,1.00000,0.22300,0.25080,-0.91870
2.1690,-1.00000,0.95631,0.00000,0.89275,1.00000,0.22300,0.25080,-0.91870
2.1860,-1.00000,0.95631,0.00000,0.89275,1.00000,0.22300,0.25080,-0.91870
2.2020,-1.00000,0.95631,0.00000,0.89275,1.00000,0.22300,0.25080,-0.91870
2.2190,-1.00000,0.95324,0.00000,0.89791,1.00000,0.22450,0.24570,-0.91870
2.2360,-1.00000,0.95109,0.00000,0.89209,1.00000,0.22030,0.24060,-0.91740
2.2530,-1.00000,0.95109,0.00000,0.89209,1.00000,0.22030,0.24060,-0.91740
2.2700,-1.00000,0.95999,0.00000,0.88822,1.00000,0.21570,0.25030,-0.92670
2.2860,-1.00000,0.95999,0.00000,0.88822,1.00000,0.21570,0.25030,-0.92670
2.3020,-1.00000,0.95999,0.00000,0.88822,1.00000,0.21570,0.25030,-0.92670
2.3180,-1.00000,0.95999,0.00000,0.88822,1.00000,0.21570,0.25030,-0.92670
2.3340,-1.00000,0.95569,0.00000,0.88114,1.00000,0.21910,0.24990,-0.91480
2.3500,0.02337,0.95508,0.00000,0.87857,1.00000,0.21740,0.24470,-0.91060
2.3660,0.02337,0.95508,0.00000,0.87857,1.00000,0.21740,0.24470,-0.91060
2.3830,0.02337,0.95508,0.00000,0.87857,1.00000,0.21740,0.24470,-0.91060
2.4000,-1.00000,0.95907,0.00000,0.87146,1.00000,0.22250,0.23420,-0.92040
2.4160,-1.00000,0.95907,0.00000,0.87146,1.00000,0.22250,0.23420,-0.92040
