time_s,Thumb,Index,Middle,Ring,Pinky
1.3300,-1.00000,-0.93580,-1.00000,-0.96639,-1.00000
1.3480,-1.00000,-0.93484,-1.00000,-0.96696,-1.00000
1.3640,-1.00000,-0.93484,-1.00000,-0.96696,-1.00000
1.3800,-1.00000,-0.95025,-1.00000,-0.96952,-1.00000
1.3970,-1.00000,-0.95025,-1.00000,-0.96952,-1.00000
1.4130,-1.00000,-0.95025,-1.00000,-0.96952,-1.00000
1.4300,-1.00000,-0.95025,-1.00000,-0.96952,-1.00000
1.4470,-1.00000,-0.94996,-1.00000,-0.97493,-1.00000
1.4630,-1.00000,-0.94996,-1.00000,-0.97493,-1.00000
1.4800,-1.00000,-0.94996,-1.00000,-0.97493,-1.00000
1.4960,-1.00000,-0.96255,-1.00000,-0.97123,-1.00000
1.5120,-1.00000,-0.97335,-1.00000,-0.97609,-1.00000
1.5290,-1.00000,-0.97335,-1.00000,-0.97609,-1.00000
1.5460,-1.00000,-0.97335,-1.00000,-0.97609,-1.00000
1.5630,-1.00000,-0.96953,-1.00000,-0.97980,-1.00000
1.5800,-1.00000,-0.97310,-1.00000,-0.98150,-1.00000
1.5970,-1.00000,-0.97310,-1.00000,-0.98150,-1.00000
1.6130,-1.00000,-0.98128,-1.00000,-0.98265,-1.00000
1.6300,-1.00000,-0.97563,-1.00000,-0.98150,-1.00000
1.6480,-1.00000,-0.97563,-1.00000,-0.98150,-1.00000
1.6640,-1.00000,-0.97563,-1.00000,-0.98150,-1.00000
1.6810,-1.00000,-0.96080,-1.00000,-0.98664,-1.00000
1.6980,-1.00000,-0.96080,-1.00000,-0.98664,-1.00000
1.7140,-1.00000,-0.96080,-1.00000,-0.98664,-1.00000
1.7300,-1.00000,-0.96080,-1.00000,-0.98664,-1.00000
1.7470,-1.00000,-0.96080,-1.00000,-0.98664,-1.00000
1.7640,-1.00000,-0.96080,-1.00000,-0.98664,-1.00000
1.7800,-1.00000,-0.96080,-1.00000,-0.98664,-1.00000
1.7970,-1.00000,-0.96644,-1.00000,-0.97868,-1.00000
1.8140,-1.00000,-0.96115,-1.00000,-0.97670,-1.00000
1.8310,-1.00000,-0.96115,-1.00000,-0.97670,-1.00000
1.8480,-1.00000,-0.96115,-1.00000,-0.97670,-1.00000
1.8650,-1.00000,-0.94629,-1.00000,-0.97157,-1.00000
1.8810,-1.00000,-0.94629,-1.00000,-0.97157,-1.00000
1.8990,-1.00000,-0.94629,-1.00000,-0.97157,-1.00000
1.9150,-1.00000,-0.94597,-1.00000,-0.97243,-1.00000
1.9320,-1.00000,-0.94597,-1.00000,-0.97243,-1.00000
1.9480,-1.00000,-0.94597,-1.00000,-0.97243,-1.00000
1.9650,-1.00000,-0.94597,-1.00000,-0.97243,-1.00000
1.9820,-1.00000,-0.94597,-1.00000,-0.97243,-1.00000
1.9990,-1.00000,-0.94597,-1.00000,-0.97243,-1.00000
2.0160,-1.00000,-0.94597,-1.00000,-0.97243,-1.00000
2.0330,-1.00000,-0.95669,-1.00000,-0.97043,-1.00000
2.0500,-1.00000,-0.95670,-1.00000,-0.96190,-1.00000
2.0680,-1.00000,-0.95670,-1.00000,-0.96190,-1.00000
2.0850,-1.00000,-0.95670,-1.00000,-0.96190,-1.00000
2.1010,-1.00000,-0.96050,-1.00000,-0.96132,-1.00000
2.1180,-1.00000,-0.96050,-1.00000,-0.96132,-1.00000
2.1340,-1.00000,-0.96050,-1.00000,-0.96132,-1.00000
2.1500,-1.00000,-0.96050,-1.00000,-0.96132,-1.00000
2.1680,-1.00000,-0.96050,-1.00000,-0.96132,-1.00000
2.1850,-1.00000,-0.96050,-1.00000,-0.96132,-1.00000
2.2010,-1.00000,-0.96050,-1.00000,-0.96132,-1.00000
2.2180,-1.00000,-0.95726,-1.00000,-0.96161,-1.00000
2.2350,-1.00000,-0.95726,-1.00000,-0.96161,-1.00000
2.2510,-1.00000,-0.95726,-1.00000,-0.96161,-1.00000
2.2680,-1.00000,-0.95726,-1.00000,-0.96161,-1.00000
2.2850,-1.00000,-0.95460,-1.00000,-0.95933,-1.00000
2.3020,-1.00000,-0.95460,-1.00000,-0.95933,-1.00000
2.3190,-1.00000,-0.95460,-1.00000,-0.95933,-1.00000
2.3360,-1.00000,-0.95134,-1.00000,-0.95734,-1.00000
2.3520,-1.00000,-0.95134,-1.00000,-0.95734,-1.00000
2.3680,-1.00000,-0.95134,-1.00000,-0.95734,-1.00000
2.3850,-1.00000,-0.95134,-1.00000,-0.95734,-1.00000
2.4010,-1.00000,-0.95361,-1.00000,-0.95620,-1.00000
2.4180,-1.00000,-0.95361,-1.00000,-0.95620,-1.00000
2.4340,-1.00000,-0.95361,-1.00000,-0.95620,-1.00000
2.4500,-1.00000,-0.95778,-1.00000,-0.95620,-1.00000
2.4670,-1.00000,-0.94859,-1.00000,-0.95761,-1.00000
2.4840,-1.00000,-0.94859,-1.00000,-0.95761,-1.00000
2.5000,-1.00000,-0.94859,-1.00000,-0.95761,-1.00000
2.5170,-1.00000,-0.94668,-1.00000,-0.95505,-1.00000
2.5350,-1.00000,-0.95993,-1.00000,-0.95420,-1.00000
2.5510,-1.00000,-0.95993,-1.00000,-0.95420,-1.00000
2.5680,-1.00000,-0.95993,-1.00000,-0.95420,-1.00000
2.5850,-1.00000,-0.95867,-1.00000,-0.95219,-1.00000
