#,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
1.0630,0.98823,0.94600,1.00000,1.00000,0.86045,0.34890,-0.08150,-0.90130
1.0790,0.98789,0.94166,1.00000,1.00000,0.85722,0.34450,-0.05100,-0.90450
1.0960,0.98789,0.94166,1.00000,1.00000,0.85722,0.34450,-0.05100,-0.90450
1.1130,0.98789,0.94166,1.00000,1.00000,0.85722,0.34450,-0.05100,-0.90450
1.1300,0.98789,0.94166,1.00000,1.00000,0.85722,0.34450,-0.05100,-0.90450
1.1480,0.98270,0.94021,1.00000,1.00000,0.84793,0.34230,-0.07640,-0.91010
1.1640,0.98270,0.94021,1.00000,1.00000,0.84793,0.34230,-0.07640,-0.91010
1.1800,0.98270,0.94021,1.00000,1.00000,0.84793,0.34230,-0.07640,-0.91010
1.1960,0.98166,0.93588,1.00000,1.00000,0.84711,0.34770,-0.07610,-0.91300
1.2120,0.98270,0.93298,1.00000,1.00000,0.84631,0.34480,-0.07000,-0.91570
1.2290,0.98270,0.93298,1.00000,1.00000,0.84631,0.34480,-0.07000,-0.91570
1.2460,0.98270,0.93298,1.00000,1.00000,0.84631,0.34480,-0.07000,-0.91570
1.2630,0.98166,0.93153,1.00000,1.00000,0.83823,0.33060,-0.05490,-0.91700
1.2790,0.98166,0.93153,1.00000,1.00000,0.83823,0.33060,-0.05490,-0.91700
1.2960,0.98166,0.93153,1.00000,1.00000,0.83823,0.33060,-0.05490,-0.91700
1.3120,0.98166,0.93153,1.00000,1.00000,0.83823,0.33060,-0.05490,-0.91700
1.3280,0.98339,0.92249,1.00000,1.00000,0.83822,0.34670,-0.06440,-0.90570
1.3440,0.98339,0.92249,1.00000,1.00000,0.83822,0.34670,-0.06440,-0.90570
1.3600,0.98339,0.92249,1.00000,1.00000,0.83822,0.34670,-0.06440,-0.90570
1.3780,0.97854,0.92358,1.00000,1.00000,0.83418,0.33750,-0.06610,-0.92400
1.3950,0.97716,0.92068,1.00000,1.00000,0.83094,0.33790,-0.06540,-0.91700
1.4120,0.97716,0.92068,1.00000,1.00000,0.83094,0.33790,-0.06540,-0.91700
1.4280,0.97716,0.92068,1.00000,1.00000,0.83094,0.33790,-0.06540,-0.91700
1.4460,0.97751,0.91813,1.00000,1.00000,0.83013,0.34840,-0.07340,-0.90840
1.4630,0.97751,0.91813,1.00000,1.00000,0.83013,0.34840,-0.07340,-0.90840
1.4800,0.97751,0.91813,1.00000,1.00000,0.83013,0.34840,-0.07340,-0.90840
1.4960,0.97958,0.91668,1.00000,1.00000,0.82852,0.33350,-0.08030,-0.93400
1.5120,0.98166,0.91305,1.00000,1.00000,0.82528,0.33670,-0.05710,-0.89520
1.5290,0.98166,0.91305,1.00000,1.00000,0.82528,0.33670,-0.05710,-0.89520
1.5460,0.98166,0.91305,1.00000,1.00000,0.82528,0.33670,-0.05710,-0.89520
1.5630,0.98200,0.90942,1.00000,1.00000,0.82406,0.33600,-0.07730,-0.91210
1.5800,0.98200,0.90942,1.00000,1.00000,0.82406,0.33600,-0.07730,-0.91210
1.5960,0.98200,0.90942,1.00000,1.00000,0.82406,0.33600,-0.07730,-0.91210
1.6130,0.98200,0.90942,1.00000,1.00000,0.82406,0.33600,-0.07730,-0.91210
1.6300,0.98026,0.90833,1.00000,1.00000,0.81961,0.34870,-0.06910,-0.90060
1.6470,0.98026,0.90833,1.00000,1.00000,0.81961,0.34870,-0.06910,-0.90060
1.6640,0.98026,0.90833,1.00000,1.00000,0.81961,0.34870,-0.06910,-0.90060
1.6810,0.98164,0.90688,1.00000,1.00000,0.81879,0.35140,-0.08590,-0.90890
1.6970,0.98164,0.90688,1.00000,1.00000,0.81879,0.35140,-0.08590,-0.90890
1.7140,0.98164,0.90688,1.00000,1.00000,0.81879,0.35140,-0.08590,-0.90890
1.7300,0.98164,0.90688,1.00000,1.00000,0.81879,0.35140,-0.08590,-0.90890
1.7460,0.98302,0.90616,1.00000,1.00000,0.81717,0.34040,-0.07470,-0.93230
1.7630,0.98302,0.90616,1.00000,1.00000,0.81717,0.34040,-0.07470,-0.93230
1.7790,0.98302,0.90616,1.00000,1.00000,0.81717,0.34040,-0.07470,-0.93230
1.7950,0.98128,0.90906,1.00000,1.00000,0.81515,0.34310,-0.09080,-0.91260
1.8110,0.97610,0.90943,1.00000,1.00000,0.81271,0.33920,-0.08590,-0.91790
1.8270,0.97610,0.90943,1.00000,1.00000,0.81271,0.33920,-0.08590,-0.91790
1.8440,0.97610,0.90943,1.00000,1.00000,0.81271,0.33920,-0.08590,-0.91790
1.8610,0.97333,0.90870,1.00000,1.00000,0.80947,0.31700,-0.04220,-0.91620
1.8780,0.97333,0.90870,1.00000,1.00000,0.80947,0.31700,-0.04220,-0.91620
1.8940,0.97333,0.90870,1.00000,1.00000,0.80947,0.31700,-0.04220,-0.91620
1.9100,0.97333,0.90870,1.00000,1.00000,0.80947,0.31700,-0.04220,-0.91620
1.9280,0.97472,0.90979,1.00000,1.00000,0.80583,0.33060,-0.07340,-0.90740
1.9460,0.97472,0.90979,1.00000,1.00000,0.80583,0.33060,-0.07340,-0.90740
1.9630,0.97472,0.90979,1.00000,1.00000,0.80583,0.33060,-0.07340,-0.90740
1.9800,0.97542,0.91306,1.00000,1.00000,0.80257,0.33940,-0.07980,-0.90600
1.9970,0.97542,0.91306,1.00000,1.00000,0.80257,0.33940,-0.07980,-0.90600
2.0130,0.97542,0.91306,1.00000,1.00000,0.80257,0.33940,-0.07980,-0.90600
