time_s,Thumb,Index,Middle,Ring,Pinky
1.5330,-1.00000,-1.00000,-0.65146,-0.95453,-0.95903
1.5500,-1.00000,-1.00000,-0.65146,-0.95453,-0.95903
1.5670,-1.00000,-1.00000,-0.65146,-0.95453,-0.95903
1.5840,-1.00000,-1.00000,-0.65146,-0.95453,-0.95903
1.6010,-1.00000,-1.00000,-0.65146,-0.95453,-0.95903
1.6180,-1.00000,-1.00000,-0.64836,-0.94292,-0.95749
1.6350,-1.00000,-1.00000,-0.64836,-0.94292,-0.95749
1.6510,-1.00000,-1.00000,-0.64836,-0.94292,-0.95749
1.6680,-1.00000,-1.00000,-0.64296,-0.93624,-0.95032
1.6850,-1.00000,-1.00000,-0.64296,-0.93624,-0.95032
1.7020,-1.00000,-1.00000,-0.64296,-0.93624,-0.95032
1.7180,-1.00000,-1.00000,-0.64296,-0.93624,-0.95032
1.7340,-1.00000,-1.00000,-0.62728,-0.91002,-0.94116
1.7500,-1.00000,-1.00000,-0.62728,-0.91002,-0.94116
1.7660,-1.00000,-1.00000,-0.62728,-0.91002,-0.94116
1.7820,-1.00000,-1.00000,-0.61017,-0.89326,-0.92698
1.7990,-1.00000,-1.00000,-0.57808,-0.83468,-0.88143
1.8150,-1.00000,-1.00000,-0.57808,-0.83468,-0.88143
1.8320,-1.00000,-1.00000,-0.57808,-0.83468,-0.88143
1.8490,-1.00000,-1.00000,-0.57808,-0.83468,-0.88143
1.8650,-1.00000,-1.00000,-0.57808,-0.83468,-0.88143
1.8810,-1.00000,-1.00000,-0.57808,-0.83468,-0.88143
1.8980,-1.00000,-1.00000,-0.57808,-0.83468,-0.88143
1.9150,-1.00000,-1.00000,-0.46554,-0.74396,-0.81516
1.9320,-1.00000,-1.00000,-0.42695,-0.69962,-0.80803
1.9480,-1.00000,-1.00000,-0.42695,-0.69962,-0.80803
1.9650,-1.00000,-0.80272,-0.39898,-0.67449,-0.80192
1.9810,-1.00000,-0.80272,-0.39898,-0.67449,-0.80192
1.9980,-1.00000,-0.80272,-0.39898,-0.67449,-0.80192
2.0150,-1.00000,-0.80272,-0.39898,-0.67449,-0.80192
2.0320,-1.00000,-0.70202,-0.31516,-0.60491,-0.74388
2.0490,-1.00000,-0.81701,-0.27567,-0.56841,-0.70548
2.0670,-1.00000,-0.81701,-0.27567,-0.56841,-0.70548
2.0850,-1.00000,-0.81803,-0.25586,-0.55844,-0.71142
2.1010,-1.00000,-0.81585,-0.25197,-0.56164,-0.71142
2.1180,-1.00000,-0.81585,-0.25197,-0.56164,-0.71142
2.1340,-1.00000,-0.81585,-0.25197,-0.56164,-0.71142
2.1500,-1.00000,-0.81686,-0.24806,-0.56326,-0.71291
2.1670,-1.00000,-0.81686,-0.24806,-0.56326,-0.71291
2.1830,-1.00000,-0.81686,-0.24806,-0.56326,-0.71291
2.2000,-1.00000,-0.81686,-0.24806,-0.56326,-0.71291
2.2170,-1.00000,-0.70759,-0.26213,-0.58077,-0.72625
2.2330,-1.00000,-0.70759,-0.26213,-0.58077,-0.72625
2.2500,-1.00000,-0.70759,-0.26213,-0.58077,-0.72625
2.2660,-1.00000,-0.70248,-0.26042,-0.58598,-0.73872
2.2820,-1.00000,-0.70248,-0.26042,-0.58598,-0.73872
2.2980,-1.00000,-0.70248,-0.26042,-0.58598,-0.73872
2.3140,-1.00000,-0.70248,-0.26042,-0.58598,-0.73872
2.3320,-1.00000,-0.71287,-0.23603,-0.52482,-0.69770
